aX,aY,aZ,gX,gY,gZ
0.711,-0.845,1.109,-9.521,28.198,-21.179
0.730,-0.941,1.124,-12.939,19.470,-25.024
0.747,-1.036,1.124,-15.808,9.338,-31.128
0.736,-1.145,1.106,-19.470,-2.075,-38.879
0.692,-1.259,1.060,-24.963,-13.306,-48.401
0.632,-1.378,1.000,-32.654,-22.583,-59.692
0.560,-1.528,0.939,-41.992,-27.710,-73.120
0.501,-1.692,0.841,-54.382,-27.161,-89.355
0.501,-1.829,0.707,-71.472,-19.104,-110.474
0.560,-1.931,0.575,-93.811,-2.808,-135.681
0.696,-1.982,0.473,-120.056,19.775,-161.377
0.891,-1.957,0.388,-149.048,45.410,-182.800
1.103,-1.911,0.283,-176.453,68.848,-198.547
1.265,-1.856,0.157,-199.524,87.463,-209.167
1.381,-1.792,0.022,-219.238,102.783,-216.675
1.506,-1.689,-0.122,-236.816,116.882,-221.069
1.572,-1.564,-0.251,-252.441,126.648,-222.839
1.578,-1.431,-0.388,-266.052,131.958,-223.022
1.581,-1.262,-0.515,-279.053,135.254,-221.924
1.584,-1.080,-0.643,-288.513,135.193,-222.656
1.606,-0.924,-0.777,-295.532,132.385,-226.929
1.563,-0.734,-0.926,-301.758,127.625,-235.413
1.569,-0.522,-1.018,-305.725,125.183,-244.080
1.643,-0.291,-1.061,-305.908,124.084,-250.061
1.696,-0.065,-1.067,-301.147,119.873,-253.174
1.750,0.133,-1.017,-291.016,113.342,-252.808
1.802,0.300,-0.925,-275.269,105.713,-249.878
1.836,0.392,-0.820,-256.226,95.398,-244.507
1.792,0.446,-0.726,-239.075,83.130,-237.366
1.674,0.502,-0.666,-227.234,71.777,-229.675
1.515,0.558,-0.629,-220.703,65.552,-222.046
1.379,0.634,-0.592,-218.384,66.223,-215.881
1.305,0.738,-0.540,-219.543,72.266,-211.792
1.282,0.877,-0.477,-220.825,79.041,-210.083
1.333,1.038,-0.394,-220.032,82.153,-208.069
1.396,1.198,-0.303,-216.064,77.881,-201.965
1.380,1.330,-0.260,-207.275,65.063,-190.491
1.316,1.436,-0.224,-193.359,49.744,-174.072
1.293,1.501,-0.153,-175.781,36.987,-153.625
1.178,1.517,-0.097,-156.555,24.597,-132.385
1.058,1.475,-0.170,-138.611,16.357,-114.319
0.948,1.452,-0.020,-123.108,16.357,-100.891
1.013,1.352,0.012,-109.802,16.113,-89.539
1.011,1.305,0.075,-100.037,12.756,-82.275
1.015,1.272,0.155,-94.727,9.338,-71.899
1.046,1.247,0.205,-89.905,3.723,-58.228
1.033,1.208,0.236,-83.679,-2.258,-44.067
1.000,1.162,0.237,-76.477,-4.944,-30.090
1.007,1.133,0.296,-67.810,-4.578,-16.541
1.012,1.086,0.321,-58.105,-3.662,-3.906
1.011,1.035,0.317,-48.340,-2.869,6.714
0.979,0.989,0.348,-38.147,-0.671,15.625
0.997,0.958,0.373,-28.320,2.075,23.987
1.000,0.887,0.362,-18.250,2.808,32.288
1.025,0.831,0.390,-9.460,4.272,39.429
1.063,0.769,0.386,-0.732,2.197,45.776
1.081,0.705,0.384,8.240,-2.380,50.171
1.088,0.638,0.377,17.822,-7.629,54.077
1.084,0.566,0.369,26.733,-12.268,59.448
1.101,0.507,0.382,34.363,-14.587,66.589
1.120,0.440,0.383,40.894,-16.724,75.378
1.121,0.380,0.382,45.471,-18.738,84.229
1.094,0.341,0.373,48.401,-21.057,91.919
1.047,0.308,0.348,51.270,-22.095,97.595
1.011,0.285,0.336,54.077,-19.836,101.379
0.988,0.277,0.327,55.664,-14.771,104.370
0.998,0.236,0.317,56.946,-8.179,107.666
1.000,0.205,0.302,57.068,-2.441,110.596
0.987,0.192,0.276,57.617,2.930,112.000
1.022,0.190,0.285,59.753,9.766,112.732
1.084,0.200,0.266,63.965,13.916,114.319
1.114,0.165,0.294,69.885,15.137,116.577
1.162,0.185,0.280,76.721,13.245,118.286
1.149,0.168,0.286,83.679,6.531,122.803
1.126,0.154,0.273,90.454,-0.854,126.831
1.074,0.112,0.225,97.107,-8.972,131.104
1.001,0.094,0.200,102.661,-11.902,131.775
0.968,0.108,0.205,108.154,-10.559,131.042
0.981,0.075,0.190,112.976,-7.751,131.592
0.975,0.019,0.151,116.089,-3.784,132.751
1.008,0.061,0.206,118.530,2.747,132.324
1.032,0.082,0.184,120.972,4.517,133.972
1.044,0.052,0.179,123.169,4.517,137.756
1.030,0.055,0.181,125.793,5.005,139.832
1.004,0.062,0.169,129.517,5.432,140.381
0.982,0.044,0.158,133.362,6.714,140.320
0.978,0.034,0.163,137.207,9.216,138.794
0.966,0.028,0.162,140.686,11.536,136.780
0.956,0.020,0.172,143.494,13.855,134.583
0.963,0.012,0.186,145.691,16.052,132.507
0.985,-0.003,0.208,147.644,17.029,130.676
0.997,-0.024,0.225,148.621,17.029,128.662
0.987,-0.038,0.237,149.048,15.808,127.197
0.987,-0.045,0.251,148.743,14.771,127.197
0.988,-0.054,0.263,148.132,14.221,128.906
0.956,-0.065,0.268,147.339,14.587,130.798
0.903,-0.068,0.264,145.203,16.602,131.348
0.855,-0.065,0.263,143.066,21.545,130.432
0.833,-0.063,0.262,141.052,28.748,128.540
0.813,-0.058,0.265,138.611,36.743,125.305
0.809,-0.054,0.267,136.047,45.532,120.850
0.822,-0.045,0.272,133.301,54.077,116.150
0.843,-0.037,0.275,130.493,62.378,112.366
0.864,-0.028,0.276,126.465,69.397,110.352
0.888,-0.015,0.278,122.498,75.134,109.253
0.908,0.002,0.283,118.347,79.041,108.032
0.945,0.012,0.298,114.929,81.604,105.774
0.977,0.022,0.312,113.220,82.336,102.661
0.981,0.025,0.321,113.098,82.031,98.267
0.974,0.011,0.331,113.342,82.092,93.811
0.960,-0.002,0.342,113.647,83.435,90.637
0.964,-0.017,0.356,113.220,85.266,88.623
0.962,-0.042,0.369,111.511,87.097,86.670
0.966,-0.080,0.375,108.154,89.111,83.984
1.051,-0.109,0.397,104.065,90.149,79.773
1.127,-0.117,0.431,100.708,88.196,72.937
1.159,-0.123,0.454,97.900,81.482,66.345
1.178,-0.120,0.473,95.459,71.350,62.927
1.170,-0.115,0.484,93.445,59.082,62.500

1.437,-1.070,-0.307,-302.795,28.198,-153.992
1.582,-0.987,-0.415,-312.988,35.095,-159.607
1.721,-0.940,-0.463,-309.265,34.546,-158.569
1.789,-0.960,-0.479,-296.692,26.978,-152.771
1.783,-1.014,-0.498,-281.555,16.418,-146.729
1.720,-1.107,-0.549,-272.339,6.165,-141.541
1.607,-1.225,-0.607,-273.987,-2.441,-136.780
1.440,-1.320,-0.673,-285.950,-5.798,-133.301
1.268,-1.321,-0.772,-305.542,-1.282,-132.019
1.182,-1.224,-0.833,-328.369,10.559,-134.888
1.130,-1.089,-0.899,-348.145,24.902,-142.395
1.098,-0.969,-0.998,-362.305,35.339,-152.710
1.079,-0.807,-1.106,-372.864,41.016,-162.720
1.120,-0.608,-1.204,-378.174,41.199,-169.312
1.160,-0.415,-1.269,-376.953,34.912,-172.729
1.202,-0.255,-1.308,-368.225,25.330,-175.842
1.283,-0.134,-1.343,-355.286,14.465,-180.359
1.398,-0.047,-1.368,-343.018,3.296,-185.364
1.497,0.052,-1.376,-333.313,-6.042,-187.744
1.580,0.181,-1.383,-326.416,-12.390,-185.486
1.628,0.321,-1.397,-320.618,-15.137,-178.284
1.603,0.438,-1.404,-315.063,-13.184,-166.809
1.555,0.545,-1.394,-308.472,-5.676,-153.137
1.502,0.679,-1.347,-301.819,5.188,-137.329
1.463,0.793,-1.295,-293.274,14.038,-120.056
1.415,0.924,-1.246,-281.494,15.686,-102.051
1.349,1.045,-1.186,-263.184,7.019,-83.984
1.292,1.115,-1.116,-238.831,-9.399,-67.871
1.159,1.115,-1.101,-211.426,-29.236,-56.946
1.078,1.098,-1.043,-184.814,-40.344,-52.429
1.040,1.125,-0.966,-160.522,-40.161,-50.720
1.019,1.043,-0.866,-136.719,-38.757,-47.302
1.010,0.994,-0.823,-118.347,-33.203,-45.959
0.964,0.989,-0.697,-104.553,-21.057,-43.762
1.029,0.954,-0.586,-91.980,-9.827,-35.156
1.040,0.879,-0.506,-81.299,-0.305,-25.513
1.052,0.892,-0.361,-72.876,7.751,-17.029
1.070,0.853,-0.294,-64.392,7.874,-6.958
1.047,0.816,-0.223,-55.969,3.418,-0.854
1.015,0.822,-0.147,-47.852,-1.282,1.831
0.986,0.813,-0.092,-39.063,-5.554,5.066
0.974,0.783,-0.039,-28.992,-7.080,7.996
0.966,0.748,0.011,-19.531,-5.737,10.742
0.990,0.717,0.065,-11.353,-3.113,14.282
1.039,0.701,0.120,-3.479,-1.465,17.395
1.096,0.676,0.164,4.761,-2.258,19.714
1.166,0.651,0.204,13.062,-5.493,22.034
1.184,0.629,0.222,21.790,-10.986,26.428
1.193,0.606,0.226,30.457,-16.907,32.715
1.180,0.593,0.222,38.574,-20.386,39.917
