aX,aY,aZ,gX,gY,gZ
0.832,1.025,1.126,-37.109,104.492,-16.052
0.881,0.968,1.258,-14.771,87.769,-8.606
0.833,0.810,1.310,-1.465,61.279,3.296
0.750,0.647,1.254,-1.160,31.372,15.442
0.629,0.573,1.128,-12.329,3.479,22.217
0.409,0.558,1.021,-25.574,-15.015,21.423
0.123,0.695,0.986,-34.302,-11.353,16.602
0.092,1.009,1.198,-31.677,20.752,10.498
0.348,1.217,1.673,-13.672,75.378,11.536
0.926,1.275,2.314,13.672,126.099,26.184
1.421,1.031,2.845,34.424,141.418,51.819
1.730,0.599,3.089,29.053,104.980,83.618
1.636,0.355,3.017,-7.263,27.344,112.000
1.168,0.394,2.588,-58.838,-59.387,130.005
0.546,0.602,1.982,-103.210,-118.408,135.071
0.068,0.822,1.441,-125.122,-130.615,126.831
-0.129,0.966,1.023,-123.718,-104.980,112.000
-0.113,1.090,0.814,-101.746,-62.134,95.642
0.099,1.193,0.883,-62.561,-25.085,83.069
0.399,1.179,1.105,-7.812,-12.939,77.332
0.504,0.900,1.459,52.917,-30.090,81.726
0.502,0.409,1.754,102.661,-66.040,97.961
0.316,-0.344,2.003,128.601,-101.868,116.821
0.015,-0.753,2.144,125.305,-124.878,122.131
-0.210,-0.983,2.217,102.783,-125.671,111.084
-0.184,-1.050,2.243,76.233,-102.417,84.106
-0.020,-1.059,2.334,57.373,-69.946,51.514
0.279,-0.946,2.394,52.124,-45.837,20.996
0.482,-0.683,2.504,59.265,-43.335,10.132
0.623,-0.567,2.650,72.266,-62.378,31.067
0.547,-0.472,2.542,87.036,-102.661,68.909
0.298,-0.661,2.377,99.976,-138.062,105.225
-0.079,-0.913,2.148,103.516,-149.597,123.108
-0.260,-1.116,1.902,100.159,-126.831,117.737
-0.346,-1.505,1.824,88.501,-77.515,90.515
-0.221,-1.576,1.746,63.965,-16.174,40.771
-0.101,-1.454,1.687,35.400,37.231,-21.118
0.164,-1.244,1.634,9.766,74.951,-66.711
0.438,-1.105,1.562,-8.057,88.989,-93.567
0.622,-0.982,1.475,-17.517,83.618,-105.835
0.704,-0.969,1.375,-20.203,64.209,-100.220
0.671,-1.097,1.199,-19.287,35.828,-80.750
0.577,-1.219,1.024,-20.752,9.705,-55.054
0.421,-1.283,0.820,-24.231,-10.559,-28.076
0.312,-1.242,0.688,-28.809,-21.667,-0.061
0.261,-1.219,0.549,-32.898,-30.457,32.227
0.151,-1.148,0.448,-34.241,-39.612,58.167
0.047,-1.085,0.372,-30.518,-46.143,74.463
-0.001,-1.040,0.346,-21.667,-48.706,78.735
-0.182,-0.883,0.362,-10.864,-45.166,73.914
-0.267,-0.863,0.445,2.258,-30.640,72.083
-0.241,-0.853,0.596,12.512,-5.005,72.266
-0.122,-0.851,0.824,17.090,23.193,74.280
0.035,-0.808,1.020,14.465,44.556,77.454
0.218,-0.714,1.185,5.737,52.673,83.618
0.370,-0.595,1.314,-4.761,45.471,86.731
0.341,-0.505,1.323,-11.963,24.597,82.825
0.223,-0.509,1.244,-14.465,2.930,75.684
0.089,-0.631,1.112,-15.381,-7.385,66.589
-0.015,-0.712,0.984,-18.433,-1.709,51.208
-0.056,-0.675,0.905,-22.400,17.822,32.349
0.012,-0.602,0.907,-23.621,43.518,15.930
0.102,-0.483,0.954,-20.203,64.270,4.761
0.209,-0.330,1.055,-13.123,74.280,2.441
0.326,-0.239,1.186,-2.014,68.359,11.719
0.364,-0.247,1.267,11.963,48.401,26.001
0.326,-0.316,1.288,24.170,22.156,39.124
0.198,-0.393,1.252,32.166,-1.770,46.875
0.055,-0.442,1.182,37.415,-14.832,44.495
-0.075,-0.531,1.120,41.199,-13.000,31.555
-0.206,-0.629,1.024,41.016,5.310,11.108
-0.210,-0.596,0.978,34.424,39.368,-8.606
-0.073,-0.450,1.017,25.513,77.209,-21.606
0.122,-0.301,1.103,21.423,102.295,-25.696
0.318,-0.180,1.201,22.705,107.239,-20.447
0.442,-0.086,1.307,26.428,91.492,-6.287
0.442,-0.061,1.360,32.532,60.669,11.780
0.340,-0.095,1.360,38.818,26.001,28.442
0.198,-0.173,1.330,42.297,-0.061,38.269
0.055,-0.263,1.290,41.504,-10.864,37.231
-0.068,-0.341,1.236,36.621,-5.493,24.536
-0.152,-0.305,1.187,25.269,15.015,3.235
-0.113,-0.146,1.173,9.705,46.082,-15.930
0.029,0.001,1.205,-3.113,74.219,-25.024
0.179,0.157,1.281,-8.118,87.463,-25.513
0.300,0.268,1.378,-5.310,82.703,-20.569
0.364,0.249,1.436,2.930,61.157,-14.282
0.327,0.153,1.428,10.193,31.860,-11.719
0.228,0.062,1.379,13.611,6.592,-16.602
0.095,-0.010,1.286,13.733,-6.348,-29.480
-0.016,-0.029,1.185,9.644,-3.113,-48.401
-0.077,0.081,1.056,4.761,15.747,-70.007
0.072,0.020,1.313,-5.432,55.664,-83.740
0.247,0.243,1.033,4.211,80.444,-102.417
0.355,0.275,1.134,1.160,86.548,-100.708
0.453,0.233,1.109,-4.211,80.994,-85.999
0.578,0.314,1.233,-5.676,64.758,-71.777
0.524,0.282,1.111,-3.052,34.241,-54.932
0.490,0.244,1.111,-3.418,7.690,-36.926
0.431,0.215,1.022,-6.287,-18.250,-27.466
0.332,0.203,0.943,-7.446,-38.513,-24.597
0.228,0.248,0.837,-7.568,-50.842,-28.381
0.151,0.301,0.790,-5.188,-53.345,-33.325
0.133,0.301,0.751,3.662,-49.866,-40.466
0.153,0.324,0.735,15.625,-43.884,-50.415
0.179,0.343,0.727,29.907,-38.330,-59.326
0.187,0.330,0.723,46.204,-33.630,-66.833
0.178,0.272,0.719,61.157,-31.433,-70.679
