aX,aY,aZ,gX,gY,gZ
1.036,-1.103,0.906,-213.684,168.091,-261.536
0.932,-1.505,1.089,-157.898,131.714,-237.366
0.824,-2.168,1.115,-99.182,105.042,-213.379
0.795,-2.818,1.025,-46.143,89.539,-192.749
0.839,-3.371,0.939,-9.460,95.520,-169.739
0.954,-3.795,0.781,-2.014,120.605,-139.648
1.165,-3.863,0.608,-31.311,144.897,-111.389
1.365,-3.338,0.375,-89.478,152.527,-97.473
1.304,-2.526,-0.050,-144.592,144.043,-95.215
1.086,-1.622,-0.317,-170.166,132.812,-92.468
0.890,-0.229,-0.072,-165.222,120.972,-78.796
0.810,0.777,0.381,-121.704,95.215,-49.988
0.850,0.038,0.067,-39.978,38.330,-20.752
0.857,-0.918,-0.434,23.987,-15.320,-6.714
0.704,-0.836,-0.471,40.100,-25.330,-9.094
0.649,-0.505,-0.260,44.495,-15.869,-12.390
0.747,-0.459,-0.149,63.477,-14.404,-3.296
0.805,-0.489,-0.061,81.177,-26.733,13.245
0.784,-0.526,0.038,90.149,-47.058,33.264
0.769,-0.567,0.057,92.834,-69.275,51.819
0.755,-0.573,0.028,91.797,-87.280,66.956
0.591,-0.530,-0.001,88.196,-95.032,76.721
0.471,-0.688,-0.116,83.618,-91.187,79.895
0.352,-0.657,-0.085,74.402,-74.829,70.313
0.244,-0.706,-0.142,70.984,-50.659,61.646
0.278,-0.897,-0.202,70.374,-27.466,49.744
0.322,-0.987,-0.202,62.622,-5.737,29.114
0.353,-0.954,-0.203,52.368,12.939,8.057
0.401,-0.952,-0.239,45.349,27.527,-8.667
0.440,-0.912,-0.260,39.368,37.537,-23.437
0.499,-0.831,-0.222,35.339,42.725,-34.668
0.643,-0.821,-0.219,34.790,40.466,-42.053
0.680,-0.834,-0.305,35.217,32.593,-46.326
0.606,-0.820,-0.187,33.875,29.724,-49.744
0.598,-0.725,-0.185,34.485,20.020,-49.500
0.568,-0.722,-0.197,42.725,12.695,-39.063
0.541,-0.715,-0.178,50.415,8.545,-25.269
0.570,-0.696,-0.097,56.458,4.822,-12.390
0.585,-0.664,-0.086,62.073,-3.662,-1.465
0.609,-0.812,-0.112,67.566,-13.550,9.766
0.581,-0.920,-0.134,63.660,-21.362,13.733
0.554,-0.946,-0.169,52.917,-25.085,14.099
0.540,-0.937,-0.201,40.710,-22.339,12.024
0.564,-0.875,-0.254,28.870,-17.334,6.348
0.566,-0.805,-0.281,21.240,-10.254,-0.366
0.585,-0.774,-0.341,18.738,-3.845,-6.409
0.594,-0.725,-0.360,19.287,4.211,-13.794
0.650,-0.717,-0.385,23.804,10.742,-19.348
0.686,-0.681,-0.411,31.067,12.390,-24.536
0.677,-0.672,-0.413,41.626,11.047,-26.611
0.679,-0.718,-0.420,54.016,7.446,-26.184
0.696,-0.771,-0.422,66.528,2.502,-24.780
0.708,-0.779,-0.416,78.552,-3.296,-21.606
0.722,-0.808,-0.447,90.088,-10.254,-15.564
0.743,-0.864,-0.441,98.511,-16.479,-9.521
0.746,-0.865,-0.406,102.051,-25.513,-5.188
0.750,-0.857,-0.415,103.943,-36.682,0.305
0.754,-0.897,-0.425,105.652,-44.434,6.165
0.701,-0.835,-0.433,103.699,-49.561,8.789
0.687,-0.808,-0.442,104.553,-50.049,14.832
