aX,aY,aZ,gX,gY,gZ
0.640,1.932,0.718,-33.630,136.047,-7.446
0.969,2.289,0.739,-36.560,144.409,-6.348
1.391,2.709,0.809,-40.527,133.667,-0.366
1.813,2.971,0.825,-40.283,95.398,12.207
2.181,2.990,0.766,-36.560,31.616,27.222
2.338,2.842,0.645,-37.109,-46.265,46.204
2.267,2.706,0.502,-45.349,-127.441,70.557
2.007,2.637,0.342,-55.786,-194.580,93.567
1.507,2.675,0.121,-63.416,-235.840,111.389
0.922,2.755,-0.134,-70.129,-242.798,128.296
0.502,2.814,-0.390,-79.224,-214.600,146.729
0.245,2.939,-0.602,-87.646,-157.898,154.785
0.137,3.088,-0.679,-87.646,-86.548,150.269
0.138,3.084,-0.633,-72.327,-21.790,145.630
0.186,2.922,-0.574,-41.321,17.212,143.860
0.214,2.606,-0.430,-2.258,26.917,138.916
0.130,2.027,-0.316,37.109,2.625,128.906
-0.121,1.295,-0.288,70.923,-48.523,107.056
-0.479,0.598,-0.316,93.506,-107.239,73.669
-0.942,-0.127,-0.300,101.746,-153.076,43.640
-1.365,-0.963,-0.448,95.947,-171.631,19.714
-1.625,-1.881,-0.312,78.918,-136.414,16.479
-1.709,-2.518,-0.039,49.927,-45.715,64.392
-1.290,-3.448,0.279,49.194,76.172,151.001
-0.445,-4.000,0.934,85.632,208.313,199.646
0.807,-4.000,1.386,131.287,299.927,134.583
1.884,-4.000,1.791,176.575,325.378,-0.916
2.777,-4.000,2.184,204.834,278.076,-110.352
3.174,-3.512,2.425,211.792,166.443,-166.626
2.841,-2.509,2.279,211.975,23.804,-181.335
2.114,-1.845,1.835,209.717,-99.487,-158.203
1.356,-1.395,1.439,190.125,-165.222,-115.784
0.796,-1.226,1.130,152.649,-170.715,-72.144
0.422,-1.168,0.910,104.919,-136.719,-35.461
0.203,-0.945,0.887,54.199,-86.304,-8.179
0.135,-0.625,0.954,22.583,-43.762,12.756
0.073,-0.489,0.923,18.860,-24.109,25.818
-0.085,-0.372,0.932,27.954,-23.315,28.564
-0.219,-0.379,0.864,39.795,-36.499,30.579
-0.266,-0.391,0.880,50.049,-53.406,27.100
-0.307,-0.392,0.827,57.800,-69.458,18.494
-0.429,-0.452,0.768,60.486,-75.500,9.521
-0.477,-0.431,0.806,55.969,-61.035,5.371
-0.430,-0.393,0.912,49.805,-31.372,7.507
-0.279,-0.350,1.088,43.213,2.869,15.381
-0.020,-0.495,1.255,36.682,25.024,29.968
0.167,-0.555,1.263,26.917,28.198,37.537
0.180,-0.495,1.305,11.780,23.621,37.842
0.193,-0.441,1.319,0.916,14.343,38.269
0.215,-0.424,1.308,-3.113,3.418,40.771
0.200,-0.454,1.281,-4.272,-4.822,45.471
0.162,-0.508,1.254,-3.662,-9.949,50.354
0.070,-0.628,1.212,-2.747,-9.766,54.626
0.050,-0.607,1.255,-3.601,-3.845,58.777
-0.012,-0.681,1.144,-4.211,2.441,65.796
-0.042,-0.653,1.324,-10.193,21.790,68.237
0.026,-0.659,1.235,-16.418,32.288,68.115
0.100,-0.670,1.183,-25.696,43.518,70.374
0.084,-0.522,1.126,-40.771,57.556,68.909
0.106,-0.474,1.091,-53.528,69.946,69.641
0.193,-0.499,1.076,-62.134,78.491,72.876
0.286,-0.449,1.072,-68.237,77.759,75.928
0.323,-0.324,1.060,-73.059,66.101,78.857
0.300,-0.322,1.014,-74.646,48.035,85.510
0.244,-0.323,0.971,-73.303,29.480,91.003
0.154,-0.260,0.931,-69.641,14.587,91.492
0.069,-0.221,0.894,-63.110,5.249,88.867
0.016,-0.211,0.861,-56.030,2.747,86.548
-0.034,-0.139,0.813,-50.354,5.493,83.191
-0.053,-0.117,0.775,-47.363,12.268,79.529
-0.014,-0.107,0.761,-45.776,21.423,76.538
0.057,0.021,0.775,-46.570,30.518,73.486
0.122,0.099,0.786,-49.377,35.645,74.646
0.173,0.069,0.781,-53.833,34.973,78.857
0.182,0.039,0.769,-59.937,30.396,79.834
0.182,0.034,0.775,-67.017,23.132,77.026
0.158,0.064,0.756,-73.181,13.062,72.754
0.110,0.096,0.738,-76.233,2.380,68.726
0.054,0.087,0.692,-74.829,-5.432,64.941
-0.073,0.147,0.620,-69.946,-6.287,57.800
-0.164,0.326,0.629,-61.951,3.174,49.072
-0.146,0.360,0.655,-50.110,16.785,46.753
-0.102,0.365,0.678,-36.499,27.283,42.786
-0.061,0.360,0.703,-27.161,34.485,36.926
-0.003,0.333,0.750,-21.240,37.903,32.837
0.045,0.303,0.776,-20.081,37.659,28.381
0.025,0.256,0.755,-23.804,34.668,23.926
-0.012,0.269,0.770,-31.616,34.363,17.883
0.029,0.261,0.790,-38.147,35.767,11.902
0.074,0.279,0.786,-42.114,37.048,2.747
0.047,0.367,0.768,-46.387,38.330,-7.324
0.063,0.448,0.737,-50.110,39.551,-13.611
0.086,0.498,0.716,-50.659,41.687,-18.616
0.054,0.596,0.682,-48.279,43.762,-24.353
0.002,0.652,0.641,-45.654,46.875,-26.306
0.012,0.644,0.608,-41.443,52.856,-26.917
0.016,0.645,0.578,-36.377,61.401,-31.006
