aX,aY,aZ,gX,gY,gZ
-0.345,-4.000,4.000,396.790,306.946,-247.009
4.000,-4.000,4.000,105.530,237.488,-233.032
2.376,-1.360,3.191,-207.703,130.920,168.579
1.193,0.694,1.557,-346.497,168.213,175.781
0.713,0.151,0.560,-307.678,138.123,93.262
0.225,-0.075,-0.025,-248.962,75.317,62.683
0.068,-0.419,-0.045,-229.980,26.794,73.181
0.093,-0.586,-0.017,-231.628,-16.785,72.571
0.201,-0.366,-0.191,-234.375,-65.430,67.078
0.232,-0.481,-0.371,-222.473,-79.712,82.031
-0.019,-0.356,-0.333,-206.238,-56.946,68.787
-0.031,-0.123,-0.171,-192.139,-26.062,55.420
0.059,0.076,-0.152,-174.683,-16.113,60.364
0.123,0.084,-0.078,-158.447,-13.184,67.444
0.080,0.026,-0.048,-145.325,-13.916,72.083
-0.030,0.042,-0.080,-134.888,-12.207,75.378
-0.088,0.099,-0.103,-123.108,-4.578,78.064
-0.060,0.166,-0.089,-107.422,5.371,78.857
0.029,0.219,-0.015,-87.158,13.428,77.148
0.120,0.234,0.059,-62.744,15.686,71.838
0.154,0.218,0.103,-37.842,13.306,63.354
0.159,0.192,0.174,-14.526,9.094,51.514
0.167,0.160,0.241,6.958,3.418,37.292
0.165,0.118,0.273,27.039,-3.174,22.034
0.139,0.098,0.304,44.617,-8.179,7.202
0.149,0.042,0.362,60.791,-9.399,-4.883
0.166,-0.003,0.424,72.327,-7.690,-14.160
0.189,-0.043,0.484,79.529,-5.432,-18.372
0.262,-0.092,0.555,83.557,-2.930,-18.433
0.358,-0.128,0.623,85.205,-1.892,-18.616
0.400,-0.131,0.655,85.144,-3.540,-18.005
0.420,-0.136,0.707,85.388,-5.432,-14.893
0.425,-0.166,0.728,85.266,-8.484,-12.512
0.425,-0.158,0.751,84.656,-11.963,-14.221
0.424,-0.141,0.759,84.473,-16.296,-15.442
0.390,-0.137,0.728,84.839,-20.752,-17.334
0.306,-0.132,0.685,85.632,-21.240,-20.752
0.227,-0.130,0.643,86.487,-16.357,-23.682
0.181,-0.149,0.613,86.121,-7.690,-24.597
0.185,-0.169,0.604,83.496,2.441,-23.987
0.240,-0.174,0.639,81.116,12.695,-22.644
0.291,-0.202,0.682,80.139,20.264,-22.217
0.309,-0.222,0.709,78.735,23.499,-23.132
0.328,-0.226,0.735,75.989,23.499,-23.987
0.362,-0.234,0.770,73.181,21.912,-25.452
0.363,-0.251,0.794,71.716,19.104,-27.893
0.350,-0.274,0.812,68.665,16.907,-29.907
0.320,-0.283,0.815,62.317,17.151,-29.602
0.325,-0.281,0.822,54.993,19.226,-28.442
0.360,-0.286,0.832,50.598,23.437,-27.832
0.391,-0.297,0.839,47.974,28.442,-28.320
0.421,-0.307,0.847,47.241,33.447,-30.151
0.445,-0.317,0.848,48.035,37.292,-32.776
0.448,-0.324,0.830,48.950,39.978,-35.034
0.433,-0.329,0.802,48.706,42.053,-36.377
0.439,-0.336,0.807,48.096,44.739,-35.522
0.460,-0.332,0.809,48.218,46.387,-33.203
0.529,-0.362,0.864,50.110,44.434,-30.579
0.562,-0.383,0.884,51.453,36.377,-29.480
0.571,-0.388,0.915,51.819,28.748,-28.381
0.553,-0.411,0.912,52.429,20.752,-26.184
0.515,-0.428,0.890,50.049,14.954,-24.536
0.469,-0.433,0.853,45.715,13.245,-23.499
0.429,-0.422,0.832,40.100,16.174,-22.400
0.389,-0.421,0.787,33.386,22.888,-20.325
0.366,-0.414,0.757,25.879,33.630,-18.494
0.421,-0.409,0.766,20.508,47.119,-17.029
0.524,-0.403,0.804,18.433,57.617,-17.151
0.632,-0.390,0.862,20.691,60.791,-17.883
0.744,-0.399,0.926,27.039,56.274,-19.287
0.801,-0.413,0.955,34.912,42.969,-21.179
0.801,-0.420,0.958,42.175,24.536,-21.545
0.781,-0.425,0.952,47.974,4.395,-19.775
0.737,-0.430,0.925,51.453,-13.733,-16.357
0.672,-0.437,0.893,53.040,-28.137,-12.695
0.619,-0.449,0.872,52.246,-36.987,-9.094
0.574,-0.459,0.859,49.255,-40.344,-6.348
0.545,-0.466,0.848,45.532,-39.001,-4.883
0.532,-0.476,0.842,42.480,-33.997,-4.517
0.513,-0.477,0.830,39.612,-26.855,-4.700
0.503,-0.472,0.813,36.987,-18.555,-4.639
0.527,-0.472,0.808,34.729,-9.949,-4.578
0.539,-0.476,0.806,32.471,-2.380,-3.601
0.536,-0.474,0.798,30.334,3.418,-2.136
0.555,-0.475,0.802,27.527,7.629,0.427
0.571,-0.482,0.797,23.254,9.949,4.395
0.571,-0.488,0.785,17.151,9.583,9.155
