aX,aY,aZ,gX,gY,gZ
0.328,-2.109,0.484,-8.423,-2.197,-10.315
0.353,-2.205,0.511,-7.629,2.197,-13.000
0.380,-2.272,0.520,-6.897,6.775,-16.602
0.409,-2.302,0.532,-6.714,11.719,-21.667
0.428,-2.304,0.534,-7.141,16.968,-27.161
0.440,-2.291,0.537,-7.507,22.522,-32.166
0.431,-2.251,0.510,-9.521,27.893,-35.645
0.416,-2.168,0.486,-11.780,34.485,-37.720
0.405,-2.036,0.453,-13.977,42.358,-38.330
0.393,-1.876,0.427,-15.320,51.270,-37.415
0.368,-1.707,0.407,-14.771,60.181,-34.912
0.348,-1.550,0.397,-13.672,67.688,-31.494
0.341,-1.402,0.402,-13.672,73.853,-27.710
0.346,-1.237,0.404,-16.418,78.125,-24.841
0.361,-1.066,0.392,-20.325,79.834,-23.621
0.372,-0.885,0.370,-24.902,79.102,-23.987
0.383,-0.677,0.345,-29.236,76.904,-24.902
0.406,-0.465,0.331,-32.410,73.364,-24.841
0.423,-0.271,0.307,-34.119,67.505,-23.376
0.410,-0.115,0.279,-33.691,59.937,-20.447
0.378,0.002,0.243,-32.166,51.758,-15.991
0.333,0.140,0.219,-29.236,45.227,-9.338
0.324,0.189,0.216,-22.583,39.429,-2.136
0.287,0.258,0.185,-16.174,32.715,4.028
0.215,0.289,0.172,-9.155,30.334,14.954
0.149,0.275,0.156,-2.319,28.015,25.208
0.100,0.231,0.125,4.089,27.283,34.607
0.069,0.182,0.121,8.911,28.931,42.480
0.040,0.118,0.117,12.085,31.006,47.729
0.030,0.071,0.136,12.329,33.203,50.354
0.022,0.037,0.131,10.803,34.302,50.415
0.039,0.002,0.133,8.484,34.607,47.974
0.071,-0.039,0.139,4.578,33.936,44.373
0.104,-0.066,0.111,0.183,31.250,39.185
0.131,-0.095,0.089,-4.761,28.076,33.752
0.151,-0.097,0.063,-10.315,24.780,28.870
0.168,-0.082,0.039,-14.648,20.508,25.085
0.182,-0.078,0.024,-17.517,16.418,23.376
0.194,-0.081,0.021,-19.348,12.390,23.682
0.214,-0.088,0.013,-20.874,8.118,25.940
0.228,-0.111,0.006,-21.851,3.845,29.663
0.228,-0.146,0.001,-22.400,0.244,34.607
0.226,-0.195,0.000,-21.973,-2.014,40.100
0.238,-0.254,0.015,-20.325,-3.906,45.105
0.273,-0.342,0.042,-16.907,-6.287,49.133
0.325,-0.452,0.076,-11.719,-10.071,51.270
0.388,-0.552,0.117,-5.676,-15.747,50.598
0.443,-0.652,0.155,1.160,-23.682,48.462
0.465,-0.773,0.187,9.460,-33.203,46.753
0.447,-0.906,0.206,18.005,-42.053,47.424
0.417,-1.034,0.215,25.574,-47.546,51.514
0.380,-1.156,0.227,31.006,-48.889,57.251
0.328,-1.291,0.241,34.485,-44.800,63.049
0.292,-1.444,0.269,37.781,-34.668,66.528
0.281,-1.645,0.296,44.006,-20.020,66.101
0.294,-1.894,0.341,50.659,-3.723,60.608
0.350,-2.097,0.404,53.345,12.634,48.096
0.482,-2.183,0.461,50.110,27.283,28.076
0.656,-2.125,0.493,42.603,37.598,1.953
0.782,-1.936,0.501,32.593,41.748,-26.123
0.839,-1.716,0.504,23.743,39.612,-51.819
0.853,-1.505,0.482,17.578,32.043,-68.665
0.826,-1.339,0.445,14.282,22.461,-75.012
0.787,-1.210,0.408,13.123,13.977,-74.280
0.760,-1.106,0.383,12.756,8.301,-69.214
0.733,-1.039,0.352,12.390,5.737,-60.791
0.672,-0.999,0.320,12.390,7.324,-50.964
0.617,-0.988,0.313,12.207,13.367,-40.833
0.589,-0.995,0.288,11.841,20.630,-32.532
0.556,-1.001,0.275,10.193,28.137,-26.184
0.541,-1.004,0.277,6.897,34.973,-21.606
0.541,-0.986,0.274,1.709,37.109,-18.738
0.531,-0.950,0.268,-4.395,35.583,-16.418
0.511,-0.916,0.262,-10.925,31.372,-14.221
0.491,-0.883,0.254,-16.724,24.231,-12.634
0.470,-0.840,0.240,-21.484,14.832,-11.841
0.450,-0.791,0.226,-24.536,4.517,-10.620
0.426,-0.738,0.223,-24.475,-5.859,-8.362
0.408,-0.678,0.223,-20.386,-15.869,-5.676
0.391,-0.618,0.218,-13.550,-25.513,-3.296
0.370,-0.575,0.216,-4.272,-33.081,-0.854
0.343,-0.571,0.234,6.775,-38.025,1.831
0.320,-0.577,0.226,17.029,-40.771,4.395
0.293,-0.602,0.222,26.733,-41.077,6.897
0.258,-0.659,0.214,34.851,-39.429,10.132
0.230,-0.750,0.214,41.077,-35.400,14.343
0.212,-0.868,0.228,45.288,-30.029,18.799
0.195,-0.988,0.246,47.974,-24.597,21.667
0.180,-1.094,0.267,47.363,-19.897,22.461
0.157,-1.136,0.275,44.373,-16.174,21.423
0.144,-1.271,0.287,39.917,-12.390,20.142
0.155,-1.279,0.266,32.593,-10.132,13.184
0.159,-1.265,0.249,24.353,-6.958,8.667
0.155,-1.240,0.219,16.602,-2.686,3.967
0.170,-1.202,0.198,9.033,1.831,-0.610
0.186,-1.164,0.214,2.380,6.042,-3.540
0.207,-1.110,0.201,-3.601,6.226,-7.019
0.234,-1.014,0.185,-7.935,6.409,-9.888
0.253,-0.928,0.186,-9.888,7.568,-11.108
0.270,-0.860,0.185,-9.094,6.958,-12.146
0.283,-0.804,0.178,-6.958,5.188,-12.390
0.296,-0.768,0.177,-3.052,2.930,-11.963
0.307,-0.743,0.171,1.526,0.305,-10.498
0.311,-0.737,0.166,6.165,-2.197,-8.118
0.311,-0.749,0.171,11.108,-5.188,-5.615
0.313,-0.775,0.184,15.747,-7.935,-3.723
0.311,-0.792,0.192,19.104,-11.169,-3.052
0.311,-0.800,0.205,21.362,-15.259,-2.808
0.317,-0.819,0.208,22.827,-20.020,-2.869
0.326,-0.847,0.215,23.865,-24.841,-3.174
0.334,-0.875,0.217,24.292,-29.907,-3.784
0.339,-0.896,0.219,23.865,-34.851,-5.371
0.333,-0.920,0.211,22.888,-39.368,-6.897
0.322,-0.950,0.202,21.851,-42.847,-8.179
0.320,-0.974,0.199,20.874,-44.617,-9.033
0.315,-0.992,0.195,19.958,-44.922,-9.827
0.309,-1.006,0.193,19.287,-43.762,-10.681
0.322,-1.021,0.193,18.555,-41.077,-11.292
0.334,-1.033,0.194,18.311,-37.598,-12.695

0.534,-2.162,0.412,-7.751,-14.221,25.391
0.624,-2.306,0.452,-10.925,-22.400,33.020
0.653,-2.418,0.487,-17.090,-31.860,40.344
0.637,-2.537,0.500,-23.804,-41.626,44.250
0.608,-2.625,0.482,-31.738,-47.913,45.227
0.583,-2.640,0.447,-41.199,-47.668,41.748
0.562,-2.559,0.410,-52.551,-41.199,33.875
0.545,-2.436,0.407,-63.782,-29.480,23.193
0.533,-2.272,0.405,-73.364,-13.794,11.047
0.525,-2.078,0.410,-78.735,3.662,-1.160
0.517,-1.882,0.420,-79.407,22.400,-12.146
0.507,-1.689,0.424,-77.271,41.382,-21.606
0.506,-1.477,0.426,-73.120,59.998,-28.687
0.519,-1.263,0.420,-67.200,77.148,-33.142
0.528,-1.089,0.394,-60.120,91.675,-35.461
0.473,-0.952,0.342,-55.603,105.103,-36.682
0.379,-0.792,0.261,-58.044,118.469,-36.560
0.311,-0.608,0.162,-65.857,134.033,-34.973
0.234,-0.433,0.054,-76.599,152.039,-31.677
0.134,-0.252,-0.046,-88.196,172.607,-27.100
0.067,-0.080,-0.136,-100.647,195.129,-22.095
0.081,0.078,-0.207,-111.084,216.797,-15.930
0.182,0.223,-0.201,-116.394,232.117,-7.324
0.330,0.352,-0.113,-113.586,231.934,5.737
0.434,0.441,-0.011,-102.844,209.167,24.353
0.462,0.452,0.077,-84.595,165.588,43.701
0.431,0.389,0.136,-62.012,110.596,59.509
0.375,0.287,0.146,-39.063,51.819,69.519
0.302,0.197,0.116,-19.592,-4.089,72.937
0.220,0.147,0.063,-5.615,-52.185,70.374
0.141,0.108,-0.002,4.333,-90.088,63.416
0.063,0.055,-0.061,12.207,-115.479,53.528
-0.002,0.007,-0.109,17.395,-128.479,41.382
-0.044,-0.021,-0.147,20.630,-130.127,28.442
-0.066,-0.032,-0.173,22.278,-122.559,15.625
-0.071,-0.028,-0.190,22.339,-107.483,4.150
-0.068,-0.018,-0.188,22.766,-87.341,-4.517
-0.052,-0.010,-0.174,23.499,-64.514,-10.681
-0.022,-0.006,-0.152,24.902,-41.382,-14.099
0.021,-0.012,-0.120,27.100,-19.897,-14.099
0.066,-0.026,-0.082,29.968,-2.075,-11.658
0.102,-0.045,-0.043,32.837,11.841,-7.141
0.132,-0.063,-0.007,35.767,21.851,-2.319
0.165,-0.092,0.023,39.185,28.015,3.174
0.207,-0.149,0.054,42.969,30.579,8.606
0.255,-0.213,0.087,47.241,29.785,13.000
0.305,-0.266,0.124,52.124,26.001,15.564
0.368,-0.312,0.168,57.739,19.043,16.418
0.442,-0.375,0.209,65.369,8.179,15.076
0.509,-0.473,0.241,75.012,-6.042,12.268
0.552,-0.587,0.260,85.571,-23.132,9.216
0.576,-0.715,0.279,96.863,-40.771,6.775
0.585,-0.862,0.280,106.934,-57.983,7.141
0.591,-1.018,0.283,113.953,-73.303,10.925
0.574,-1.184,0.305,117.004,-85.571,17.761
