aX,aY,aZ,gX,gY,gZ
2.115,-0.313,-0.369,202.759,225.647,56.396
2.155,-0.402,-0.403,241.516,231.140,76.050
2.106,-0.479,-0.406,279.419,228.882,94.910
2.042,-0.537,-0.389,314.148,219.421,112.610
1.967,-0.593,-0.348,347.900,202.881,126.099
1.879,-0.668,-0.292,380.005,180.237,135.620
1.766,-0.727,-0.237,408.386,155.457,141.174
1.620,-0.802,-0.208,433.716,131.165,143.066
1.478,-0.869,-0.178,452.332,110.901,143.250
1.309,-0.954,-0.152,463.074,97.290,142.761
1.147,-1.011,-0.162,464.783,91.187,143.127
0.986,-0.968,-0.089,459.961,93.506,144.165
0.871,-0.951,-0.006,454.041,99.670,146.851
0.815,-0.937,0.039,446.594,107.239,147.583
0.744,-0.897,0.120,438.110,118.896,143.677
0.663,-0.885,0.182,430.054,130.066,136.719
0.599,-0.855,0.210,422.058,138.062,126.831
0.552,-0.846,0.240,414.490,145.752,115.845
0.521,-0.849,0.280,405.884,153.076,103.699
0.454,-0.786,0.363,398.560,158.936,90.210
0.329,-0.746,0.426,396.179,165.344,76.965
0.617,-0.805,0.575,394.592,170.044,62.378
0.595,-0.783,0.713,390.259,158.081,42.664
0.862,-0.752,0.772,381.958,132.446,26.733
0.777,-0.775,0.829,369.324,97.778,11.414
0.666,-0.826,0.939,352.661,64.697,-3.906
0.518,-0.837,0.878,321.167,27.527,-14.954
0.536,-0.612,0.923,281.006,19.836,-22.644
0.804,-1.013,1.271,240.540,15.442,-27.527
0.815,-1.456,2.009,180.420,-4.822,-25.269
0.390,-1.029,2.186,73.730,-27.039,-14.709
0.440,-0.539,1.405,-33.813,-8.484,-14.587
0.757,-0.358,0.762,-81.116,18.005,-14.587
1.027,-0.133,0.536,-83.008,21.729,-10.437
1.030,-0.025,0.403,-65.857,6.470,-4.700
0.966,-0.053,0.316,-44.861,-8.301,-1.465
0.979,-0.074,0.255,-31.860,-16.602,-2.869
0.978,-0.046,0.225,-29.053,-17.761,-8.179
0.968,-0.047,0.179,-31.738,-16.541,-13.184
1.004,-0.031,0.144,-38.147,-13.550,-17.822
1.068,-0.038,0.149,-47.424,-10.925,-19.043
1.060,-0.066,0.133,-59.570,-12.390,-17.151
1.092,-0.089,0.136,-73.975,-15.930,-15.442
1.113,-0.091,0.155,-88.928,-21.179,-14.709
1.103,-0.099,0.171,-101.990,-27.710,-13.733
1.078,-0.111,0.191,-112.915,-33.569,-12.756
1.036,-0.118,0.204,-122.009,-37.231,-13.062
1.026,-0.104,0.239,-129.700,-37.048,-14.526
0.983,-0.121,0.227,-134.949,-35.645,-14.832
0.973,-0.152,0.209,-139.465,-31.921,-15.625
0.971,-0.145,0.212,-144.165,-25.391,-16.357
