aX,aY,aZ,gX,gY,gZ
1.841,-1.698,0.173,184.692,223.938,-376.221
2.258,-1.708,0.056,131.470,255.371,-340.637
2.691,-1.572,-0.023,73.303,263.550,-282.104
3.007,-1.331,-0.082,22.034,243.408,-208.374
3.218,-1.084,-0.144,-16.418,190.125,-126.587
3.208,-0.882,-0.179,-42.664,112.000,-37.292
2.973,-0.866,-0.223,-57.739,26.611,53.101
2.581,-0.864,-0.265,-67.505,-48.767,131.531
2.191,-0.834,-0.216,-72.937,-103.943,193.848
1.836,-0.699,-0.190,-75.073,-144.104,238.525
1.519,-0.510,-0.151,-72.571,-170.898,273.071
1.170,-0.436,-0.112,-65.430,-186.035,304.260
0.758,-0.397,-0.142,-59.509,-195.007,329.712
0.305,-0.413,-0.207,-58.411,-192.200,349.121
-0.107,-0.436,-0.280,-66.528,-172.668,362.183
-0.343,-0.416,-0.268,-80.261,-142.700,369.751
-0.413,-0.405,-0.186,-86.487,-123.657,365.295
-0.418,-0.382,-0.309,-80.444,-130.005,331.604
-0.464,-0.275,-0.329,-70.129,-136.902,262.939
-0.559,-0.156,-0.505,-56.335,-146.973,177.734
-0.697,0.013,-0.573,-35.706,-147.766,89.539
-0.840,0.266,-0.586,-6.958,-136.047,4.578
-0.849,0.318,-0.560,28.137,-114.868,-67.078
-0.735,0.301,-0.397,66.467,-77.454,-125.916
-0.433,0.186,-0.265,99.243,-29.968,-171.692
-0.075,0.105,-0.043,125.366,14.404,-212.219
0.303,-0.029,0.049,153.015,44.250,-243.286
0.619,-0.290,0.089,175.110,69.885,-267.944
0.943,-0.567,0.150,184.998,100.586,-286.438
1.292,-0.833,0.271,179.199,140.503,-293.640
1.768,-1.032,0.382,153.442,184.448,-283.691
2.153,-1.090,0.471,108.887,220.703,-253.967
2.404,-0.956,0.374,56.458,233.154,-209.045
2.609,-0.733,0.143,12.573,225.586,-150.024
2.843,-0.554,0.014,-16.541,206.299,-78.308
2.938,-0.457,-0.065,-33.630,173.279,1.892
2.835,-0.432,-0.091,-40.161,129.456,77.271
2.621,-0.417,-0.078,-38.574,81.299,139.771
2.321,-0.373,-0.060,-32.043,32.593,189.636
1.995,-0.333,-0.054,-23.071,-11.719,230.225
1.663,-0.341,-0.044,-14.099,-48.523,263.428
1.319,-0.383,-0.041,-9.216,-77.759,290.466
0.964,-0.407,-0.070,-10.803,-100.037,311.951
0.618,-0.395,-0.103,-17.212,-116.150,327.881
0.330,-0.397,-0.163,-26.855,-128.174,340.515
0.091,-0.333,-0.237,-37.048,-134.705,347.778
-0.158,-0.348,-0.206,-44.861,-128.540,346.741
-0.305,-0.342,-0.213,-53.650,-119.385,331.116
-0.350,-0.285,-0.353,-56.519,-111.511,305.603
-0.450,-0.310,-0.573,-48.462,-98.145,261.230
-0.589,-0.200,-0.639,-42.236,-81.177,183.228
-0.535,0.049,-0.598,-31.128,-69.458,83.252
-0.335,0.279,-0.502,-4.944,-60.425,-23.682
-0.141,0.253,-0.438,32.593,-53.162,-124.451
-0.035,0.128,-0.290,68.298,-42.236,-218.140
0.116,0.073,-0.138,98.083,-26.550,-304.687
0.303,-0.048,-0.080,129.028,-6.592,-372.925
0.468,-0.181,-0.078,160.339,25.696,-419.617
0.619,-0.334,-0.061,187.317,78.552,-442.444
0.862,-0.653,0.032,199.829,149.536,-433.838
1.161,-0.948,0.098,178.467,234.314,-388.977
1.544,-1.013,0.190,127.075,312.256,-319.153
2.039,-0.790,0.067,71.594,355.408,-247.253
2.466,-0.412,0.036,32.349,357.910,-178.711
2.736,-0.170,-0.056,13.428,310.730,-101.624
2.798,-0.155,-0.039,4.700,242.432,-16.724
2.799,-0.238,0.051,-1.282,159.180,61.890
2.681,-0.290,0.076,-5.615,59.204,124.023
2.394,-0.316,0.056,-11.169,-40.894,171.753
2.057,-0.338,0.040,-20.874,-132.019,209.961
1.719,-0.368,-0.020,-31.982,-214.355,238.098
1.370,-0.397,-0.135,-41.809,-284.119,253.845
0.981,-0.367,-0.258,-50.964,-333.618,255.554
0.581,-0.273,-0.396,-55.664,-362.061,243.042
0.205,-0.188,-0.501,-51.208,-363.464,214.233
-0.157,-0.138,-0.551,-40.283,-337.158,165.344
-0.346,-0.020,-0.518,-23.193,-283.081,96.130
-0.252,0.078,-0.448,0.427,-213.013,19.348
-0.088,0.042,-0.403,27.710,-138.977,-55.237
-0.068,-0.004,-0.313,53.345,-65.369,-124.390
-0.031,-0.083,-0.234,72.449,5.249,-176.392
0.159,-0.217,-0.182,79.346,79.041,-200.195
0.505,-0.316,-0.121,72.327,152.771,-197.388
0.916,-0.302,-0.031,55.176,212.524,-175.232
1.275,-0.297,-0.035,36.621,244.629,-141.296
1.604,-0.234,0.093,20.081,251.404,-98.938
1.807,-0.146,0.073,7.507,229.248,-48.340
1.855,-0.110,-0.055,1.221,188.721,5.737
1.932,-0.205,0.121,-5.066,151.367,57.922
1.978,-0.182,0.149,-12.146,95.581,96.985
1.885,-0.187,0.197,-12.939,31.372,125.061
1.759,-0.243,0.178,-12.512,-33.997,143.677
1.577,-0.319,0.102,-14.404,-94.788,151.917
1.340,-0.317,0.008,-19.958,-142.151,148.804
1.084,-0.252,-0.096,-26.062,-170.410,138.550
0.862,-0.183,-0.160,-30.029,-176.208,125.488
0.700,-0.127,-0.160,-31.494,-160.828,111.145
0.617,-0.064,-0.151,-31.677,-133.240,94.788
0.586,-0.020,-0.145,-30.212,-99.304,77.026
0.592,0.037,-0.124,-27.100,-63.660,57.495
0.606,0.091,-0.105,-21.484,-29.968,38.330
0.650,0.104,-0.064,-12.634,-1.526,20.203
0.757,0.108,-0.022,-3.601,20.630,3.113
0.839,0.115,0.012,4.822,33.691,-11.719
0.884,0.114,0.024,12.939,38.208,-24.475
0.920,0.109,0.046,20.325,38.879,-33.875
0.948,0.108,0.064,25.330,36.865,-38.574
0.967,0.096,0.058,28.992,34.241,-38.025
0.990,0.095,0.089,29.785,32.288,-32.288
1.009,0.076,0.091,28.076,29.663,-22.400
1.025,0.071,0.122,24.414,27.283,-10.620
1.036,0.065,0.110,19.836,22.461,1.709
1.037,0.057,0.122,13.733,17.151,15.198
1.036,0.042,0.137,7.080,11.414,27.588
1.030,0.019,0.141,0.610,5.127,36.682
1.001,0.003,0.137,-5.493,-2.075,42.175
0.972,-0.008,0.115,-11.108,-8.850,44.189
0.948,-0.019,0.094,-16.052,-14.832,43.457
0.924,-0.019,0.067,-20.874,-18.982,40.771

2.390,0.321,-0.228,19.775,148.437,-90.454
2.478,0.260,-0.109,16.663,95.398,0.977
2.403,0.087,-0.047,5.249,34.119,89.844
2.292,-0.132,0.011,-11.841,-25.269,174.011
2.230,-0.357,-0.017,-30.518,-89.172,238.831
2.031,-0.417,0.007,-52.917,-146.851,279.907
1.674,-0.410,-0.050,-75.134,-184.143,308.716
1.377,-0.347,-0.073,-93.445,-202.820,324.524
1.156,-0.204,-0.047,-101.257,-205.505,324.707
0.942,0.050,-0.041,-95.642,-197.021,307.983
0.713,0.277,0.020,-73.547,-179.382,276.001
0.477,0.453,0.086,-41.321,-156.433,232.910
0.266,0.537,0.059,-5.859,-128.357,184.631
0.100,0.455,0.078,26.428,-85.083,132.019
-0.004,0.282,0.121,50.476,-31.372,75.745
-0.044,0.210,0.140,65.491,21.301,15.198
-0.042,0.189,0.145,73.853,65.369,-50.354
-0.025,0.143,0.159,79.712,102.600,-114.380
0.016,0.106,0.186,83.252,133.972,-170.227
0.126,0.094,0.180,82.153,155.518,-213.135
0.356,0.122,0.217,75.378,166.931,-239.929
0.527,0.214,0.185,66.467,165.527,-246.460
0.693,0.207,0.185,56.580,156.189,-234.314
0.825,0.196,0.125,42.969,142.334,-218.750
0.929,0.152,0.063,30.090,124.451,-199.463
1.011,0.127,-0.007,17.090,106.750,-176.270
1.114,0.107,-0.044,4.517,93.018,-144.653
1.260,0.069,-0.048,-9.766,84.412,-104.980
1.431,0.012,-0.036,-25.696,73.059,-59.875
1.534,-0.007,-0.041,-39.246,51.575,-18.127
1.552,-0.034,-0.085,-49.622,25.208,22.278
1.494,-0.033,-0.124,-60.913,5.554,63.904
1.452,-0.031,-0.117,-68.909,-7.996,103.394
1.432,-0.019,-0.079,-69.946,-21.790,133.850
1.406,0.003,-0.057,-64.026,-35.522,151.001
1.358,0.079,-0.053,-52.246,-49.438,153.259
1.275,0.194,-0.043,-34.912,-61.890,145.691
1.167,0.231,-0.044,-13.489,-70.068,133.972
0.988,0.225,-0.067,8.484,-71.960,117.004
0.788,0.191,-0.055,30.396,-62.622,93.628
0.661,0.131,-0.016,48.279,-43.762,64.514
0.545,0.128,0.016,60.486,-22.095,29.480
0.486,0.132,0.045,68.298,2.380,-6.531
0.458,0.114,0.076,72.571,29.297,-40.588
0.449,0.090,0.105,73.608,54.871,-70.984
0.512,0.031,0.154,72.449,72.693,-96.741
0.600,0.005,0.179,68.054,78.247,-118.713
0.709,0.007,0.155,61.218,75.134,-133.240
0.796,0.015,0.122,51.880,67.627,-136.902
0.869,0.043,0.074,43.091,57.495,-131.104
0.947,0.064,0.032,35.889,42.236,-115.845
1.004,0.087,0.021,27.100,25.452,-91.370
1.072,0.054,0.029,15.869,13.489,-57.678
1.150,-0.016,0.032,2.380,3.601,-20.691
1.186,-0.016,-0.013,-13.611,-8.179,12.451
1.171,-0.014,-0.051,-30.762,-15.442,42.908
1.156,-0.034,-0.073,-47.180,-17.639,69.946
1.144,-0.053,-0.087,-58.350,-17.151,88.257
1.171,-0.046,-0.091,-62.195,-12.390,94.299
1.195,0.002,-0.121,-60.730,-6.104,91.614
1.135,0.101,-0.168,-54.565,5.920,86.182
1.028,0.141,-0.201,-45.898,33.081,84.290
0.962,0.183,-0.263,-39.612,72.998,87.891
0.977,0.278,-0.338,-32.715,116.699,96.558
1.070,0.346,-0.359,-22.156,161.316,111.633
1.256,0.393,-0.292,-10.132,195.801,129.883
1.487,0.405,-0.208,6.104,205.750,144.287
1.667,0.388,-0.113,27.405,184.265,149.719
1.696,0.358,-0.022,48.462,136.841,146.057
1.624,0.274,0.010,65.613,73.853,136.414
1.519,0.185,0.068,74.341,2.319,124.756
1.362,0.166,0.089,73.364,-69.946,110.535
1.115,0.175,0.089,63.538,-136.292,92.834
0.837,0.203,0.098,49.805,-185.059,73.853
0.634,0.262,0.114,36.377,-213.257,52.612
0.495,0.177,0.119,23.560,-227.356,25.757
0.368,0.193,0.080,8.850,-230.408,-12.634
0.250,0.227,0.007,-3.662,-219.482,-52.917
0.156,0.151,-0.041,-11.902,-191.650,-92.590
0.070,0.222,-0.044,-17.273,-150.635,-134.949
0.032,0.246,-0.028,-12.024,-105.286,-165.588
0.075,0.158,-0.038,-1.587,-59.448,-186.462
0.158,0.115,-0.053,7.080,-12.085,-208.435
0.310,0.052,-0.028,15.259,38.147,-222.534
0.509,0.055,-0.045,19.043,79.712,-229.980
0.780,0.067,-0.095,22.949,107.178,-228.699
1.035,0.081,-0.102,27.222,124.512,-213.989
1.232,0.125,-0.123,29.236,137.756,-183.899
1.499,0.230,-0.156,29.358,143.799,-139.526
1.808,0.296,-0.130,28.320,136.047,-79.529
2.068,0.298,-0.024,27.771,108.582,-10.071
2.090,0.123,0.041,21.362,64.392,65.918
