aX,aY,aZ,gX,gY,gZ
0.648,-0.226,2.256,31.067,78.979,41.077
0.536,-0.432,2.638,3.357,63.293,55.420
0.418,-0.619,2.914,-37.720,39.673,60.486
0.211,-0.782,3.053,-89.966,10.132,53.223
-0.054,-0.945,3.005,-148.010,-16.663,30.457
-0.247,-1.105,2.878,-207.520,-29.236,-5.676
-0.341,-1.264,2.731,-263.245,-24.170,-47.058
-0.304,-1.419,2.559,-314.148,-7.751,-89.355
-0.179,-1.579,2.379,-359.375,16.113,-128.601
-0.062,-1.755,2.149,-401.855,43.945,-163.757
0.186,-1.946,1.888,-445.374,74.646,-195.129
0.419,-2.100,1.588,-492.065,108.398,-212.708
0.512,-2.207,1.257,-539.001,140.381,-218.811
0.556,-2.265,0.879,-581.421,169.861,-221.008
0.644,-2.296,0.502,-615.723,200.317,-218.018
0.794,-2.293,0.193,-646.729,228.638,-206.909
0.912,-2.150,0.016,-674.988,250.122,-190.613
0.934,-2.002,-0.071,-694.946,260.010,-170.959
0.823,-1.899,-0.115,-707.397,256.104,-148.804
0.668,-1.788,-0.199,-711.609,243.286,-126.465
0.569,-1.668,-0.316,-706.543,225.220,-103.577
0.587,-1.704,-0.373,-696.411,202.271,-79.529
0.783,-1.847,-0.381,-686.096,166.321,-50.598
0.834,-1.884,-0.470,-675.476,107.605,-17.517
0.702,-1.804,-0.661,-657.410,42.786,10.986
0.595,-1.644,-0.862,-626.831,-9.033,37.048
0.580,-1.448,-1.037,-579.956,-45.288,59.814
0.625,-1.348,-1.175,-517.578,-64.819,75.623
0.671,-1.354,-1.259,-446.167,-69.458,80.750
0.685,-1.386,-1.279,-373.047,-61.157,70.129
0.884,-1.374,-1.225,-305.054,-42.603,50.049
1.141,-1.385,-1.153,-244.263,-26.550,28.442
1.222,-1.382,-1.138,-190.247,-22.583,11.536
1.267,-1.292,-1.100,-143.555,-23.437,-0.732
1.346,-1.192,-1.027,-103.577,-25.085,-6.409
1.397,-1.136,-0.955,-68.298,-29.480,-6.348
1.393,-1.036,-0.873,-40.527,-32.837,-2.869
1.399,-0.897,-0.799,-20.508,-34.119,3.052
1.388,-0.757,-0.737,-4.517,-33.691,11.902
1.354,-0.611,-0.688,7.507,-32.776,21.912
1.317,-0.497,-0.651,15.991,-31.494,31.311
1.267,-0.446,-0.614,22.034,-30.457,39.978
1.206,-0.416,-0.578,23.804,-29.663,47.791
1.119,-0.376,-0.555,22.461,-29.480,53.223
1.037,-0.346,-0.554,19.592,-26.794,55.176
0.970,-0.339,-0.557,16.113,-20.691,54.260
0.922,-0.293,-0.559,11.902,-13.672,49.438
0.874,-0.262,-0.567,8.606,-5.310,42.297
0.846,-0.230,-0.579,6.836,3.479,33.325
0.819,-0.200,-0.581,6.714,11.475,22.888
0.819,-0.142,-0.582,8.057,18.372,12.329
0.852,-0.106,-0.564,11.353,24.048,4.456
0.879,-0.098,-0.529,15.442,26.489,-1.404
0.916,-0.090,-0.501,18.250,25.574,-4.578
0.954,-0.073,-0.482,20.508,23.193,-5.615
0.970,-0.050,-0.465,23.254,20.325,-5.127
0.994,-0.053,-0.444,26.794,17.456,-3.479
1.017,-0.037,-0.419,30.457,14.771,-1.038
1.016,-0.027,-0.400,34.241,13.000,2.380
1.035,-0.006,-0.368,37.537,12.024,6.226
1.084,-0.000,-0.329,40.100,10.742,10.010
1.096,0.003,-0.311,42.542,7.874,13.184
1.061,-0.003,-0.317,44.373,5.005,15.991
1.033,-0.019,-0.322,45.532,5.127,17.700
1.032,-0.021,-0.311,45.715,8.545,18.921
1.024,-0.003,-0.296,46.265,12.817,19.470
0.996,-0.010,-0.292,47.668,15.442,19.409
1.035,0.000,-0.290,48.462,17.212,18.738
1.082,0.036,-0.267,49.744,18.311,19.226
1.033,0.002,-0.276,51.819,15.381,19.775
1.050,0.020,-0.259,52.368,13.000,18.677
1.036,0.027,-0.258,52.063,11.108,20.020
0.984,0.013,-0.266,51.819,9.094,21.667
0.944,0.032,-0.289,51.086,8.972,22.034
0.947,0.089,-0.277,50.537,12.878,21.912
0.957,0.076,-0.274,52.368,15.686,22.034
0.971,0.079,-0.272,55.176,15.320,20.203
0.984,0.089,-0.274,57.983,14.526,18.066
0.973,0.095,-0.282,60.791,13.062,17.151
0.959,0.105,-0.281,63.843,11.536,17.212
0.956,0.114,-0.278,66.650,11.047,17.639
0.963,0.133,-0.262,69.641,11.658,18.066
0.952,0.133,-0.255,72.327,11.902,18.677
0.949,0.126,-0.255,74.219,11.475,18.555
0.953,0.128,-0.239,74.402,10.803,17.456
0.948,0.156,-0.222,73.730,10.254,15.930
0.949,0.180,-0.193,72.693,9.094,14.709
0.968,0.225,-0.166,71.106,5.005,14.832
0.959,0.256,-0.166,68.909,-0.244,18.677
0.921,0.228,-0.180,67.139,-2.991,23.682
0.882,0.198,-0.200,65.186,-2.441,26.245
0.859,0.181,-0.230,62.256,1.282,26.733
0.859,0.162,-0.258,59.814,6.592,25.818
0.861,0.162,-0.274,57.495,11.780,23.682
0.863,0.172,-0.298,56.946,16.418,20.447
0.867,0.199,-0.319,58.655,20.386,15.991
0.867,0.220,-0.338,62.012,23.865,11.353
0.877,0.229,-0.348,66.833,26.794,7.080
0.904,0.255,-0.336,72.998,28.870,2.747
0.930,0.249,-0.335,80.139,28.381,-0.305
0.936,0.202,-0.338,86.609,25.757,-1.648
0.930,0.161,-0.343,90.454,23.987,-1.648
0.928,0.168,-0.337,92.651,23.499,-2.014
0.943,0.147,-0.338,94.116,23.499,-1.953
0.946,0.115,-0.369,95.337,23.254,-2.136
0.935,0.116,-0.387,96.863,24.231,-3.479
0.930,0.141,-0.385,99.060,26.794,-5.859
0.925,0.145,-0.400,102.356,28.748,-8.179
0.911,0.161,-0.429,107.544,29.358,-10.498
0.887,0.196,-0.429,114.136,30.640,-12.329
0.876,0.218,-0.430,122.131,33.630,-14.221
0.887,0.225,-0.437,131.287,37.415,-16.724
0.891,0.209,-0.460,140.625,40.894,-20.630
0.888,0.198,-0.464,150.330,45.532,-25.024
0.914,0.169,-0.461,159.729,50.354,-29.114
0.962,0.102,-0.471,166.992,51.758,-30.579
0.998,0.045,-0.460,170.898,49.255,-29.602
1.002,0.034,-0.433,171.021,44.067,-26.733
0.990,0.015,-0.410,168.884,36.011,-22.217

1.363,-0.138,2.280,43.762,62.073,42.969
1.386,-0.502,2.817,6.226,41.931,65.918
1.281,-0.932,3.096,-60.486,8.545,84.595
0.962,-1.210,3.114,-153.503,-27.588,85.938
0.613,-1.245,2.964,-256.836,-46.448,70.679
0.408,-1.244,2.699,-352.661,-35.217,48.828
0.146,-1.355,2.280,-438.293,3.540,28.442
