aX,aY,aZ,gX,gY,gZ
1.468,-1.440,0.687,16.785,-16.357,-0.427
1.586,-2.103,0.656,16.296,-12.878,-7.141
1.672,-2.789,0.548,7.690,2.014,-20.630
1.794,-3.062,0.325,-14.465,33.569,-37.354
1.901,-2.878,0.192,-52.002,82.275,-44.922
1.894,-2.775,0.126,-85.510,131.165,-31.738
1.754,-2.734,-0.022,-100.525,172.974,-2.075
1.544,-2.559,-0.090,-107.117,209.961,29.541
1.382,-2.277,-0.072,-106.689,236.816,56.702
1.216,-2.012,-0.063,-95.764,244.568,78.796
0.982,-1.625,-0.073,-83.191,232.056,93.811
0.712,-1.059,-0.051,-77.698,203.979,98.022
0.544,-0.454,-0.004,-74.341,162.720,90.454
0.358,0.033,0.063,-66.101,108.093,68.787
0.066,0.479,0.078,-53.162,44.678,27.039
-0.214,0.776,0.079,-37.964,-12.207,-35.034
-0.290,0.949,0.035,-22.705,-49.194,-105.408
-0.173,1.081,0.003,-17.090,-61.401,-170.959
0.160,1.246,-0.067,-25.330,-51.147,-224.060
0.608,1.507,-0.191,-47.302,-25.024,-258.484
1.098,1.892,-0.365,-76.477,11.597,-270.630
1.492,2.411,-0.433,-101.868,50.476,-258.179
1.718,2.787,-0.471,-109.375,75.195,-226.013
1.869,2.978,-0.456,-100.708,73.303,-186.523
1.888,3.012,-0.421,-82.886,41.809,-152.893
1.739,2.958,-0.406,-63.110,-8.423,-128.052
1.493,2.847,-0.442,-44.189,-59.265,-105.591
1.338,2.605,-0.417,-24.292,-94.421,-83.801
1.203,2.417,-0.493,-6.958,-112.000,-70.740
0.961,2.208,-0.378,5.371,-109.558,-53.711
0.935,1.973,-0.333,21.240,-94.910,-29.541
0.979,1.675,-0.288,38.757,-70.007,-1.099
1.052,1.455,-0.213,48.767,-45.105,22.278
1.095,1.258,-0.141,53.406,-27.161,41.199
1.093,1.088,-0.129,55.847,-18.005,56.946
1.052,0.984,-0.092,54.993,-12.085,73.547
1.025,0.850,-0.075,55.664,-8.728,93.445
1.000,0.748,-0.048,57.007,-6.348,106.995
0.969,0.633,-0.026,59.143,-4.395,115.784
0.958,0.540,0.009,61.157,-2.930,120.544
0.985,0.456,0.035,61.951,-2.502,121.460
1.009,0.404,0.054,62.927,-3.845,120.605
1.016,0.350,0.056,63.049,-5.981,119.629
1.022,0.355,0.097,62.378,-7.874,120.056
0.991,0.349,0.123,62.805,-11.536,123.596
0.957,0.298,0.140,64.392,-15.747,127.136
0.888,0.262,0.136,65.369,-18.738,125.977
0.784,0.208,0.120,64.941,-19.775,118.835
0.742,0.171,0.149,62.378,-17.517,106.201
0.669,0.160,0.212,58.044,-14.709,93.384
1.040,-0.053,0.328,54.932,-13.489,91.309
1.185,-0.256,0.229,49.866,-20.203,81.543
1.040,-0.299,0.184,33.142,-28.320,68.176
1.171,-0.232,0.207,8.484,-33.936,51.392
1.199,-0.190,0.164,-1.953,-39.307,33.569
1.134,-0.111,0.097,-1.404,-43.884,10.986
1.086,-0.085,0.056,5.493,-42.969,-4.944
1.074,-0.101,0.060,17.944,-36.011,-14.648
1.099,-0.122,0.135,30.396,-25.879,-20.081
1.166,-0.219,0.212,39.795,-17.883,-15.869
1.262,-0.326,0.291,41.199,-17.395,-6.470
1.285,-0.389,0.319,34.546,-25.513,5.371
1.230,-0.383,0.293,22.766,-41.382,13.916
1.149,-0.369,0.297,9.460,-59.631,18.127
1.019,-0.339,0.236,1.709,-77.087,15.503
0.836,-0.287,0.196,-2.686,-85.938,6.226
0.746,-0.261,0.192,-2.625,-82.764,-2.808
0.736,-0.296,0.187,1.343,-69.031,-7.507
0.813,-0.333,0.207,4.272,-49.072,-8.301
0.884,-0.369,0.247,4.639,-29.968,-7.935
0.984,-0.407,0.276,3.235,-15.747,-7.019
1.010,-0.436,0.267,-0.427,-8.972,-7.202
1.192,-0.462,0.347,-4.822,-8.240,-10.254
1.185,-0.403,0.316,-7.568,-15.259,-18.127
1.198,-0.377,0.361,-9.827,-24.780,-20.996
1.227,-0.404,0.319,-10.742,-34.180,-17.334
1.204,-0.361,0.326,-13.245,-38.330,-13.184
1.164,-0.358,0.292,-14.954,-38.574,-5.859
1.110,-0.301,0.280,-14.709,-34.851,-0.671
1.061,-0.284,0.270,-12.207,-27.832,2.075
1.056,-0.293,0.259,-8.118,-18.005,2.258
1.023,-0.269,0.257,-5.493,-7.874,-1.038
