aX,aY,aZ,gX,gY,gZ
2.011,1.621,-0.904,-28.320,531.189,-127.991
3.073,2.128,-1.332,-44.678,617.310,-153.320
4.000,2.858,-1.835,-70.129,685.791,-160.706
4.000,3.535,-2.344,-91.675,726.257,-155.273
4.000,3.926,-2.750,-93.811,749.817,-137.512
4.000,3.847,-2.983,-75.684,762.817,-90.820
4.000,3.624,-2.944,-45.471,756.042,6.714
4.000,3.305,-2.737,3.784,708.984,131.653
4.000,2.309,-2.371,88.745,640.503,248.413
4.000,1.339,-1.848,185.364,586.182,340.881
4.000,-0.382,-1.554,266.052,554.687,433.411
4.000,-0.717,-0.737,308.533,539.429,489.502
4.000,-1.898,-0.735,342.163,534.302,530.884
4.000,-2.174,-0.544,359.497,521.729,526.306
3.140,-3.349,-0.489,353.882,536.377,491.638
3.366,-1.993,-0.307,320.435,569.702,401.123
3.196,-1.833,-0.279,301.636,608.826,363.220
3.260,-1.554,-0.221,298.706,595.581,324.402
3.127,-1.271,-0.025,306.091,544.678,294.861
2.865,-1.025,0.220,321.777,465.576,263.306
2.493,-1.094,0.273,338.867,362.610,241.455
1.935,-0.952,0.221,342.651,259.460,213.623
1.297,-0.925,0.173,336.243,187.073,186.523
1.033,-0.975,-0.001,322.021,158.142,152.710
0.746,-1.015,0.031,291.504,171.997,126.709
0.709,-1.025,-0.077,252.075,200.073,116.211
0.709,-0.914,-0.030,205.811,232.117,98.389
0.785,-0.966,-0.037,167.297,245.911,77.576
0.863,-0.724,0.030,134.460,240.601,55.725
0.833,-0.524,0.043,115.173,211.182,42.847
0.711,-0.446,-0.020,112.549,166.931,33.020
0.474,-0.155,0.002,119.751,123.901,24.536
0.287,-0.134,-0.078,139.221,88.318,29.236
0.102,-0.160,-0.100,160.645,66.833,32.288
-0.097,-0.150,-0.096,174.133,58.167,22.827
-0.225,-0.125,-0.048,180.603,57.434,5.554
-0.287,-0.142,0.011,181.152,61.829,-13.672
-0.230,-0.249,0.090,174.805,68.665,-32.593
-0.092,-0.289,0.224,156.677,74.280,-49.255
0.051,-0.240,0.302,128.357,70.435,-55.847
0.108,-0.169,0.287,95.032,59.387,-51.758
0.128,-0.009,0.244,63.110,49.255,-38.513
0.156,0.162,0.185,41.382,43.152,-21.667
0.143,0.265,0.113,33.020,40.527,-8.972
0.117,0.304,0.062,34.180,40.222,-3.174
0.114,0.348,0.042,39.795,42.053,-3.723
0.105,0.380,0.040,45.105,44.861,-7.568
0.110,0.388,0.045,50.110,47.363,-13.062
0.140,0.382,0.071,53.284,50.110,-18.677
0.182,0.407,0.112,52.734,52.856,-19.958
0.238,0.452,0.156,48.828,53.467,-15.259
0.275,0.501,0.193,45.288,50.903,-8.118
0.300,0.561,0.225,43.030,45.837,-2.380
0.300,0.615,0.248,42.908,37.598,1.587
0.275,0.666,0.265,44.250,28.015,3.601
0.264,0.691,0.284,47.119,18.311,5.005
0.249,0.690,0.309,50.110,7.629,5.981
0.187,0.695,0.315,52.246,-3.296,6.714
0.053,0.709,0.314,52.795,-10.254,7.141
-0.012,0.706,0.320,52.673,-9.094,7.935
-0.052,0.692,0.331,50.964,-1.648,9.583
-0.097,0.675,0.340,46.509,9.277,9.460
-0.128,0.692,0.363,39.429,21.729,7.568
-0.114,0.724,0.391,30.884,33.813,6.042
-0.070,0.759,0.412,22.827,42.175,5.432
-0.010,0.811,0.458,16.296,45.105,4.883
0.068,0.858,0.501,13.245,39.429,3.723
0.126,0.903,0.541,14.465,24.963,1.465
0.132,0.935,0.565,18.188,4.639,-1.282
0.153,0.918,0.568,23.376,-17.151,-1.892
0.110,0.871,0.543,28.748,-38.208,-1.343
0.007,0.827,0.523,32.776,-52.490,-3.479
-0.061,0.797,0.515,34.607,-55.786,-7.446
-0.075,0.750,0.516,34.790,-49.866,-11.658
-0.108,0.669,0.553,32.349,-38.330,-17.151
-0.058,0.822,0.573,23.499,-25.635,-23.743
-0.044,0.693,0.569,14.282,-13.062,-18.921
-0.017,0.699,0.560,4.456,-2.625,-16.296
0.021,0.747,0.574,-4.272,6.531,-15.747
0.084,0.779,0.594,-9.766,10.498,-15.320
