aX,aY,aZ,gX,gY,gZ
-1.804,-0.879,-0.851,-33.264,85.938,-35.4
-2.27,-0.998,-0.949,-40.649,109.192,-57.312
-2.468,-1.121,-0.969,-28.748,120.361,-99.243
-2.385,-1.42,-1.036,3.723,117.432,-167.603
-2.445,-1.755,-1.079,42.725,101.929,-258.972
-2.514,-2.064,-1.074,77.881,73.364,-352.783
-2.305,-2.404,-1.013,110.413,38.635,-427.612
-2.0,-2.713,-0.947,137.756,5.371,-479.736
-1.75,-2.943,-0.886,162.048,-24.78,-514.771
-1.488,-3.228,-0.855,190.247,-47.974,-539.062
-1.095,-3.587,-0.754,221.619,-56.702,-558.044
-0.709,-3.917,-0.595,246.643,-55.908,-569.885
-0.322,-4.0,-0.418,265.991,-52.734,-572.144
0.084,-4.0,-0.197,279.297,-34.851,-567.627
0.287,-4.0,0.029,277.283,0.305,-553.162
0.572,-4.0,0.276,267.09,45.837,-537.781
0.894,-4.0,0.353,255.798,100.159,-518.921
0.844,-4.0,0.342,237.61,164.49,-502.563
1.984,-4.0,0.747,197.449,270.63,-476.807
3.495,-4.0,0.698,154.175,359.68,-410.461
3.697,-4.0,0.964,109.985,342.651,-376.77
3.55,-3.995,0.872,71.96,242.31,-375.488
3.394,-3.249,0.647,32.166,137.024,-358.887
2.921,-2.983,0.196,16.113,37.17,-317.2
2.193,-2.661,0.071,-9.949,-46.936,-300.354
1.811,-2.346,-0.124,-40.161,-76.599,-267.212
1.537,-1.981,-0.406,-55.237,-50.293,-219.299
1.529,-1.59,-0.052,-53.345,20.752,-179.932
1.325,-1.444,-0.354,-38.635,86.548,-160.706
1.293,-1.073,-0.083,-25.879,172.974,-149.231
1.427,-1.019,-0.133,-4.883,244.019,-129.028
1.59,-1.043,-0.159,13.977,295.715,-107.3
1.656,-0.923,-0.094,22.156,329.407,-90.027
1.73,-0.891,-0.071,28.87,338.867,-65.491
1.833,-0.865,0.03,30.579,328.857,-38.635
1.845,-0.813,0.11,28.564,297.485,-15.137
1.761,-0.768,0.201,24.109,252.625,5.92
1.637,-0.705,0.299,19.592,201.05,25.269
1.488,-0.692,0.34,18.005,145.508,42.603
1.317,-0.695,0.364,16.602,93.445,56.274
1.129,-0.703,0.388,14.465,47.974,64.88
0.937,-0.734,0.371,11.78,10.132,69.153
0.752,-0.765,0.388,6.958,-16.174,69.946
0.616,-0.816,0.369,1.526,-34.912,68.726
0.515,-0.868,0.358,-4.578,-45.41,66.345
0.408,-0.884,0.377,-10.925,-48.035,62.134
0.334,-0.921,0.39,-16.357,-45.837,58.533
0.282,-0.963,0.391,-22.949,-40.466,55.237
0.239,-0.992,0.391,-30.273,-31.128,51.758
0.223,-1.007,0.396,-37.476,-18.982,48.401
0.236,-1.014,0.397,-43.274,-5.92,45.654
0.261,-1.009,0.404,-47.241,6.226,44.25
0.26,-0.993,0.406,-49.011,15.991,44.678
0.268,-0.992,0.421,-48.828,23.254,47.974
0.291,-1.023,0.435,-47.18,27.588,53.406
0.284,-1.064,0.45,-45.593,27.405,58.228
0.258,-1.087,0.455,-45.349,23.682,61.462
0.213,-1.103,0.439,-45.349,18.005,64.148
0.152,-1.089,0.424,-44.434,13.428,66.956
0.087,-1.075,0.409,-42.542,11.108,70.984
0.06,-1.08,0.397,-40.222,11.169,75.256
0.064,-1.086,0.397,-37.598,12.878,77.576
0.083,-1.089,0.408,-34.241,14.771,77.942
0.103,-1.089,0.418,-29.846,15.625,76.843
0.111,-1.085,0.422,-24.536,14.709,75.806
0.1,-1.078,0.423,-19.226,11.414,76.172
0.1,-1.089,0.418,-14.832,6.165,78.552
0.114,-1.114,0.419,-11.719,0.366,81.665
0.127,-1.138,0.423,-9.46,-6.104,84.351
0.134,-1.158,0.432,-7.996,-13.611,85.999
0.148,-1.167,0.444,-7.385,-22.522,86.67
0.167,-1.18,0.449,-7.202,-32.41,86.731
0.179,-1.203,0.451,-7.324,-43.396,86.914
0.18,-1.219,0.446,-8.606,-54.993,86.853
0.184,-1.227,0.443,-10.559,-66.589,87.219
0.189,-1.232,0.44,-12.512,-78.003,87.769
0.184,-1.226,0.432,-14.404,-88.562,87.646
0.181,-1.206,0.428,-16.418,-97.961,87.402
0.193,-1.188,0.429,-17.883,-105.774,87.83
0.187,-1.177,0.419,-18.433,-112.244,89.417
0.152,-1.167,0.396,-18.982,-115.845,91.797
0.149,-1.175,0.406,-18.982,-114.624,94.299
0.179,-1.183,0.441,-18.555,-109.985,95.825
0.201,-1.174,0.453,-18.677,-106.14,96.252
0.176,-1.136,0.43,-19.226,-102.783,97.778
0.122,-1.178,0.362,-20.813,-96.68,100.952
0.167,-1.208,0.439,-24.963,-84.045,99.854
0.16,-1.172,0.445,-29.297,-72.815,94.36
0.152,-1.111,0.434,-32.471,-64.148,90.149
0.149,-1.112,0.433,-35.706,-54.932,87.402
0.155,-1.072,0.431,-39.49,-45.532,84.412
0.113,-0.981,0.43,-42.297,-37.231,82.092
0.113,-0.95,0.407,-42.969,-29.297,83.374
0.075,-0.895,0.344,-42.847,-20.142,85.083
0.136,-0.963,0.372,-42.236,-7.141,85.999
0.062,-0.802,0.359,-43.274,3.662,79.895
0.152,-0.849,0.349,-40.833,13.794,78.369
0.159,-0.658,0.348,-37.903,23.499,74.951
0.172,-0.897,0.35,-30.945,32.288,79.956
0.287,-0.849,0.434,-30.151,32.41,68.542
0.227,-0.706,0.367,-30.334,25.757,56.213
0.183,-0.752,0.339,-28.503,26.184,57.739
0.325,-0.833,0.446,-27.405,29.724,57.556
0.331,-0.669,0.432,-27.283,23.437,49.438
0.228,-0.668,0.445,-26.428,13.367,49.927
0.394,-0.75,0.441,-25.452,3.357,54.321
0.37,-0.707,0.42,-26.794,-7.507,51.575
0.304,-0.705,0.412,-28.625,-16.602,49.622
