aX,aY,aZ,gX,gY,gZ
-0.729,-1.324,0.9,40.833,-71.777,-23.682
-0.866,-1.392,0.892,28.259,-67.566,-47.974
-0.983,-1.441,0.847,10.193,-55.664,-74.707
-1.05,-1.469,0.775,-11.353,-36.011,-102.6
-1.047,-1.517,0.733,-36.438,-10.254,-129.578
-1.005,-1.538,0.673,-65.369,17.761,-155.334
-0.94,-1.543,0.617,-94.482,47.546,-179.81
-0.792,-1.546,0.538,-121.277,76.843,-203.613
-0.582,-1.551,0.475,-145.63,103.76,-224.792
-0.386,-1.561,0.42,-166.565,126.648,-242.493
-0.176,-1.567,0.353,-183.289,142.944,-259.338
0.061,-1.549,0.305,-194.946,152.71,-275.208
0.345,-1.51,0.282,-201.05,155.09,-287.476
0.592,-1.481,0.285,-201.538,147.217,-293.152
0.781,-1.443,0.301,-199.219,128.967,-294.495
0.936,-1.398,0.298,-193.298,104.309,-293.884
1.044,-1.34,0.293,-183.655,78.613,-289.429
1.114,-1.256,0.307,-171.204,55.664,-281.067
1.166,-1.166,0.323,-157.227,35.339,-270.081
1.205,-1.098,0.349,-141.357,19.409,-257.263
1.242,-1.032,0.364,-126.953,7.324,-241.882
1.285,-0.983,0.368,-114.075,-1.526,-223.022
1.31,-0.952,0.364,-102.722,-7.019,-201.599
1.321,-0.953,0.336,-93.567,-10.193,-177.795
1.353,-0.989,0.328,-88.379,-9.521,-153.259
1.386,-0.979,0.335,-89.233,-7.751,-131.653
1.434,-0.961,0.295,-94.116,-7.812,-110.718
1.508,-1.002,0.276,-100.83,-7.69,-89.172
1.603,-1.007,0.237,-109.497,-13.733,-73.792
1.681,-0.917,0.141,-115.845,-26.855,-63.965
1.702,-0.805,0.077,-114.746,-39.001,-52.612
1.683,-0.712,0.03,-105.469,-49.683,-38.086
1.651,-0.672,0.013,-90.088,-57.617,-20.569
1.592,-0.6,0.026,-71.655,-61.768,-1.709
1.521,-0.584,0.001,-51.88,-63.232,20.386
1.452,-0.584,-0.0,-32.166,-61.523,43.823
1.372,-0.593,0.014,-13.306,-56.702,67.871
1.313,-0.621,0.052,3.479,-51.331,90.454
1.268,-0.649,0.091,18.738,-47.729,108.704
1.223,-0.685,0.124,33.569,-46.814,122.314
1.169,-0.729,0.144,46.997,-47.424,133.911
1.139,-0.785,0.166,57.739,-49.438,144.409
1.105,-0.841,0.202,65.674,-52.185,155.273
1.06,-0.89,0.241,71.167,-55.603,168.396
1.026,-0.929,0.279,74.402,-60.913,184.57
0.988,-0.956,0.316,77.515,-66.711,202.637
0.942,-0.979,0.347,81.726,-72.815,219.849
0.873,-1.003,0.371,87.585,-79.285,234.314
0.786,-1.029,0.382,95.215,-85.999,245.3
0.699,-1.058,0.388,104.309,-91.98,253.662
0.596,-1.077,0.398,115.112,-96.191,260.925
0.501,-1.109,0.411,127.075,-98.389,267.517
0.405,-1.174,0.42,139.465,-98.328,273.315
0.321,-1.254,0.446,149.719,-96.924,276.062
0.277,-1.302,0.505,156.738,-95.215,274.963
0.225,-1.334,0.594,160.645,-95.764,273.071
0.132,-1.377,0.652,160.583,-100.769,271.912
0.044,-1.444,0.629,154.663,-106.689,269.409
-0.025,-1.508,0.642,144.775,-107.605,262.817
-0.089,-1.53,0.711,132.568,-105.652,251.282
-0.154,-1.518,0.751,117.554,-106.079,238.647
-0.205,-1.514,0.77,100.464,-106.873,226.013
-0.251,-1.506,0.772,83.557,-106.873,212.097
-0.314,-1.489,0.739,66.772,-105.53,196.045
-0.386,-1.469,0.7,50.964,-100.464,179.81
-0.437,-1.434,0.669,37.781,-92.285,163.818
-0.486,-1.399,0.634,26.489,-82.642,148.376
-0.494,-1.387,0.614,17.151,-70.496,134.583
-0.505,-1.362,0.595,9.094,-57.8,121.399
-0.529,-1.316,0.576,1.587,-45.898,109.07
-0.558,-1.283,0.56,-4.211,-33.936,98.816
-0.571,-1.267,0.554,-8.057,-21.729,90.271
-0.568,-1.247,0.547,-11.475,-10.986,81.116
-0.575,-1.21,0.538,-14.893,-1.953,71.106
-0.619,-1.165,0.509,-17.517,6.104,60.486
-0.687,-1.124,0.464,-18.799,15.381,50.232
-0.686,-1.117,0.437,-18.86,27.893,40.955
-0.663,-1.136,0.476,-18.005,41.077,30.09
-0.652,-1.127,0.473,-18.372,49.988,16.357
-0.673,-1.102,0.444,-20.508,55.298,2.441
-0.645,-1.101,0.481,-20.264,62.256,-10.132
-0.646,-1.072,0.435,-20.569,63.049,-24.963
-0.636,-1.061,0.424,-20.325,66.04,-39.978
-0.607,-1.057,0.398,-19.897,68.726,-56.152
-0.559,-1.073,0.382,-20.142,72.021,-72.876
-0.524,-1.077,0.349,-21.606,73.547,-90.698
-0.495,-1.08,0.345,-23.437,75.378,-107.605
-0.459,-1.082,0.363,-24.841,76.233,-123.291
-0.421,-1.083,0.367,-25.208,74.402,-137.39
-0.388,-1.086,0.365,-24.597,71.289,-150.269
-0.372,-1.091,0.365,-23.071,68.237,-161.56
-0.362,-1.109,0.363,-20.569,66.406,-171.814
-0.335,-1.137,0.359,-17.578,66.65,-182.007
-0.303,-1.164,0.357,-15.076,69.214,-192.627
-0.267,-1.208,0.362,-13.062,74.036,-203.003
-0.216,-1.25,0.369,-12.085,80.322,-213.318
-0.165,-1.292,0.395,-12.695,86.67,-223.755
-0.099,-1.322,0.4,-14.587,91.614,-234.985
-0.013,-1.351,0.394,-17.944,96.863,-245.239
0.035,-1.405,0.4,-21.118,102.844,-256.104
0.101,-1.426,0.413,-25.146,107.483,-270.447
0.211,-1.418,0.427,-27.649,111.267,-283.508
0.317,-1.425,0.451,-29.358,113.037,-291.87
0.401,-1.453,0.486,-30.64,112.366,-296.021
0.473,-1.458,0.513,-33.752,108.704,-297.485
0.519,-1.444,0.524,-37.537,103.21,-294.861
0.561,-1.417,0.52,-40.955,96.497,-289.062
0.633,-1.398,0.538,-42.664,88.806,-281.982
0.71,-1.369,0.541,-43.518,78.674,-273.743
0.747,-1.347,0.506,-43.335,67.81,-263.367
0.736,-1.303,0.489,-44.25,60.181,-251.709
0.738,-1.286,0.437,-45.532,56.763,-238.525
0.74,-1.195,0.504,-47.058,57.373,-225.769
0.759,-1.119,0.442,-46.509,54.688,-210.51
0.755,-1.176,0.339,-43.701,58.96,-191.04
0.741,-1.139,0.39,-42.297,70.557,-176.575
0.804,-1.131,0.406,-39.124,76.233,-165.039
0.867,-1.125,0.441,-35.645,76.172,-157.349
0.884,-0.986,0.432,-34.302,72.388,-151.978
-0.925,-1.338,0.519,20.874,4.456,-91.37
-1.073,-1.426,0.552,21.179,2.93,-115.173
-1.225,-1.495,0.551,16.418,2.38,-141.235
-1.376,-1.559,0.507,8.118,6.104,-166.687
-1.471,-1.641,0.466,-2.808,17.395,-191.04
-1.426,-1.737,0.427,-16.296,33.813,-218.384
-1.249,-1.832,0.391,-31.921,50.842,-250.549
-1.023,-1.923,0.39,-46.509,65.186,-285.889
-0.813,-1.99,0.397,-59.57,72.693,-324.402
-0.626,-2.009,0.389,-69.275,72.815,-365.784
-0.453,-2.04,0.387,-70.251,70.374,-406.677
-0.235,-2.151,0.432,-60.852,67.444,-446.167
-0.001,-2.281,0.483,-48.401,59.082,-484.68
0.209,-2.358,0.482,-33.875,46.997,-517.578
0.43,-2.409,0.551,-15.991,36.682,-534.973
0.669,-2.596,0.695,-2.136,26.123,-528.87
0.799,-2.573,0.719,-5.066,16.296,-504.7
0.672,-2.351,0.7,-16.541,16.235,-465.454
0.521,-2.13,0.604,-25.696,24.841,-422.058
0.558,-2.061,0.479,-26.245,42.236,-377.808
0.71,-1.911,0.398,-25.757,70.557,-334.351
0.893,-1.758,0.407,-24.414,104.37,-289.673
1.148,-1.701,0.522,-16.296,147.949,-214.783
1.202,-1.585,0.543,-14.282,146.912,-189.88
1.228,-1.479,0.546,-9.888,136.414,-172.241
1.235,-1.423,0.549,-3.906,121.826,-160.828
1.228,-1.35,0.513,0.671,103.149,-154.785
1.224,-1.279,0.463,3.784,85.815,-149.902
1.222,-1.219,0.439,4.517,72.449,-143.555
1.213,-1.157,0.414,2.014,63.049,-134.338
1.189,-1.097,0.379,-2.747,57.19,-123.535
1.137,-0.869,0.38,-6.897,56.58,-108.582
1.029,-0.861,0.295,-3.967,58.411,-82.092
0.949,-0.989,0.276,-3.174,65.43,-57.556
0.939,-0.94,0.298,-9.888,73.975,-40.405
0.939,-0.852,0.326,-13.611,79.163,-22.461
0.946,-0.803,0.347,-13.489,77.393,-3.723
0.887,-0.918,0.332,-11.414,68.42,14.648
0.823,-0.819,0.303,-12.207,57.251,24.719
0.803,-0.738,0.229,-7.263,41.321,34.851
0.768,-0.859,0.27,0.366,27.71,50.903
0.686,-0.924,0.3,0.488,14.526,63.843
0.609,-0.816,0.308,-1.587,0.671,70.923
0.575,-0.732,0.286,2.136,-12.451,79.773
0.521,-0.798,0.266,11.292,-22.888,93.872
0.463,-0.841,0.277,18.86,-28.748,107.422
0.419,-0.84,0.302,24.902,-33.569,119.751
0.358,-0.883,0.281,31.86,-38.94,129.517
0.302,-0.922,0.297,38.696,-41.26,133.667
0.262,-0.892,0.326,46.021,-41.443,135.498
0.231,-0.868,0.325,55.725,-41.992,137.817
0.191,-0.88,0.305,67.505,-40.71,140.991
0.15,-0.932,0.306,79.407,-37.231,143.066
0.108,-0.933,0.302,89.905,-33.936,141.724
0.073,-0.931,0.28,101.44,-30.151,140.991
0.042,-0.963,0.254,114.014,-24.597,141.846
0.045,-1.06,0.246,125.122,-17.639,141.907
0.06,-1.11,0.27,131.592,-11.658,138.062
0.041,-1.068,0.287,133.484,-8.118,134.644
0.115,-1.118,0.325,134.827,-5.615,136.047
0.161,-1.122,0.341,134.827,-7.385,135.01
0.133,-1.186,0.307,133.85,-11.78,135.01
0.094,-1.25,0.304,129.761,-12.329,134.155
0.111,-1.237,0.331,122.559,-10.62,131.897
0.146,-1.218,0.336,115.601,-9.644,132.019
0.171,-1.236,0.333,109.68,-9.216,133.789
0.204,-1.27,0.344,101.929,-8.789,136.292
0.251,-1.282,0.341,91.797,-8.484,139.954
0.308,-1.307,0.333,81.299,-8.606,144.836
0.347,-1.341,0.324,71.106,-9.827,150.391
0.341,-1.335,0.301,60.547,-12.878,156.25
0.317,-1.314,0.3,52.612,-14.893,162.842
0.303,-1.306,0.311,48.096,-14.832,168.945
0.304,-1.288,0.296,44.983,-14.16,173.95
0.285,-1.265,0.305,43.03,-10.437,177.368
0.221,-1.258,0.296,42.908,-5.737,179.81
0.354,-1.342,0.36,40.71,-0.732,179.138
0.229,-1.207,0.278,36.56,-0.305,172.729
0.277,-1.252,0.327,35.95,3.418,170.837
0.304,-1.227,0.316,32.593,5.188,164.673
0.326,-1.212,0.346,30.579,8.484,159.973
0.307,-1.138,0.332,25.574,7.263,152.832
0.3,-1.08,0.313,20.02,5.737,147.583
0.315,-1.035,0.3,14.832,4.883,142.334
0.345,-1.015,0.295,10.498,3.784,137.024
0.377,-1.0,0.282,6.714,2.136,131.958
0.385,-0.965,0.26,3.296,0.305,127.991
0.395,-0.938,0.241,1.648,-0.244,124.817
0.412,-0.898,0.236,0.732,-0.854,122.009
0.416,-0.863,0.233,0.549,-1.892,118.713
0.432,-0.841,0.225,1.099,-2.38,115.417
0.448,-0.812,0.219,2.197,-1.892,111.267
0.446,-0.781,0.22,4.883,-0.732,106.934
0.455,-0.766,0.23,8.423,0.61,103.455
0.47,-0.754,0.234,12.39,1.648,99.792
0.477,-0.76,0.234,15.442,2.502,96.313
0.503,-0.764,0.254,17.212,3.784,93.079
0.523,-0.745,0.275,18.005,2.93,89.172
0.564,-0.74,0.284,18.616,-0.427,85.388
0.616,-0.754,0.284,18.127,-5.066,81.299
0.603,-0.749,0.273,17.09,-10.254,75.806
0.608,-0.723,0.278,15.503,-14.893,70.007
0.618,-0.671,0.287,14.038,-19.531,65.43
0.604,-0.655,0.291,13.794,-24.475,63.721
0.612,-0.647,0.28,13.611,-29.968,61.951
0.632,-0.646,0.272,12.695,-35.095,59.265
0.631,-0.634,0.268,11.841,-39.307,56.274
0.64,-0.626,0.266,11.23,-43.823,52.979
0.641,-0.6,0.26,10.559,-47.729,48.828
0.657,-0.594,0.262,10.498,-50.598,45.105
0.675,-0.579,0.26,10.986,-53.345,41.199
0.687,-0.561,0.251,11.353,-56.213,38.635
0.699,-0.544,0.25,11.963,-59.326,36.56
0.71,-0.527,0.254,12.573,-61.951,35.095
0.709,-0.503,0.251,12.329,-64.575,34.058
0.702,-0.491,0.245,12.085,-66.711,33.386
0.71,-0.496,0.249,11.78,-67.627,33.142
0.711,-0.496,0.249,10.681,-69.275,32.41
0.693,-0.492,0.243,10.01,-70.679,31.189
-0.924,-1.406,0.793,31.982,-50.903,-52.734
-1.0,-1.446,0.754,26.428,-48.889,-82.886
-1.105,-1.505,0.742,20.813,-38.086,-111.633
-1.207,-1.568,0.689,13.672,-22.888,-142.334
-1.208,-1.643,0.642,6.042,-5.981,-177.856
-1.137,-1.721,0.614,-4.822,11.78,-211.792
-1.048,-1.738,0.583,-20.325,29.114,-243.225
-0.911,-1.734,0.55,-37.476,44.983,-271.973
-0.773,-1.761,0.519,-52.063,60.73,-296.021
-0.63,-1.809,0.508,-63.232,76.172,-319.153
-0.459,-1.86,0.481,-73.486,88.562,-342.896
-0.278,-1.922,0.457,-82.458,97.351,-366.089
-0.091,-1.959,0.434,-88.623,100.281,-388.184
0.094,-1.975,0.421,-91.614,96.313,-407.837
0.257,-2.001,0.444,-89.417,85.876,-424.194
0.391,-2.032,0.483,-83.923,67.383,-434.998
0.504,-2.049,0.515,-78.064,41.077,-441.528
0.547,-2.007,0.552,-72.083,11.23,-444.397
0.549,-1.935,0.587,-61.951,-17.212,-445.007
0.547,-1.91,0.598,-47.546,-42.908,-442.871
0.525,-1.934,0.558,-32.166,-62.378,-435.12
0.47,-1.973,0.482,-16.113,-72.754,-424.927
0.408,-2.019,0.415,-1.465,-73.12,-413.086
0.4,-2.048,0.36,8.606,-64.514,-398.071
0.512,-2.162,0.381,15.198,-48.096,-383.301
0.516,-1.966,0.423,17.7,-29.297,-371.948
0.552,-1.965,0.419,25.085,-11.78,-348.694
0.59,-2.038,0.472,32.349,7.324,-331.421
0.606,-1.925,0.459,37.659,23.376,-319.824
0.614,-1.75,0.456,45.715,43.152,-300.293
0.647,-1.762,0.477,56.396,64.209,-275.452
0.668,-1.683,0.41,63.843,81.543,-255.737
0.704,-1.605,0.425,70.007,104.919,-232.544
0.771,-1.495,0.417,72.449,125.427,-210.327
0.848,-1.426,0.385,72.388,142.09,-185.12
0.91,-1.369,0.395,67.627,154.724,-158.508
0.962,-1.304,0.429,58.411,158.386,-131.531
1.0,-1.229,0.434,46.997,150.452,-103.76
1.006,-1.158,0.425,34.241,135.803,-74.585
0.994,-1.093,0.443,20.752,116.638,-43.701
0.957,-1.035,0.449,6.042,90.454,-12.817
0.907,-1.024,0.45,-8.423,59.631,17.395
0.839,-1.066,0.461,-23.987,26.733,44.25
0.738,-1.056,0.426,-41.016,-7.202,65.125
0.628,-1.029,0.386,-56.946,-36.926,82.52
0.517,-1.01,0.351,-70.129,-59.692,97.229
0.418,-1.0,0.314,-80.322,-75.5,109.192
0.317,-0.976,0.268,-87.708,-84.167,118.469
0.229,-0.948,0.243,-91.553,-84.778,126.099
0.159,-0.916,0.222,-92.224,-79.041,132.69
0.106,-0.896,0.207,-89.478,-68.359,138.245
0.075,-0.88,0.209,-83.679,-54.382,142.212
0.067,-0.848,0.222,-75.745,-39.185,145.203
0.078,-0.807,0.24,-64.819,-24.353,148.743
0.097,-0.787,0.261,-52.246,-11.047,153.809
0.115,-0.783,0.285,-38.696,-1.16,159.607
0.132,-0.787,0.315,-24.719,5.859,166.138
0.169,-0.792,0.345,-12.085,9.644,174.377
0.205,-0.804,0.365,-0.61,10.437,184.57
0.219,-0.837,0.379,10.376,9.216,195.435
0.226,-0.874,0.398,20.996,5.371,205.383
0.232,-0.883,0.42,31.372,-0.549,212.585
0.219,-0.902,0.424,41.016,-7.019,219.36
0.196,-0.974,0.412,50.171,-12.024,225.708
0.182,-1.054,0.419,56.702,-14.343,229.004
0.167,-1.081,0.444,60.791,-14.709,227.783
0.133,-1.077,0.46,63.538,-13.611,227.661
0.112,-1.084,0.47,66.284,-10.803,230.835
0.114,-1.111,0.484,71.167,-7.263,234.863
0.124,-1.147,0.486,77.332,-3.418,237.732
0.124,-1.169,0.479,83.862,1.099,238.525
0.108,-1.187,0.467,92.102,6.653,239.38
0.132,-1.253,0.481,100.22,11.963,240.356
0.144,-1.303,0.496,105.652,14.587,237.122
0.182,-1.369,0.53,107.91,15.259,230.591
0.195,-1.344,0.576,106.995,12.024,220.642
0.197,-1.329,0.574,105.53,4.028,212.646
0.199,-1.368,0.567,102.844,-4.089,207.153
0.196,-1.399,0.58,96.558,-10.559,200.378
0.189,-1.385,0.614,88.074,-17.151,193.237
0.189,-1.354,0.628,79.712,-25.208,187.317
0.174,-1.339,0.612,71.594,-31.25,184.631
0.158,-1.34,0.585,63.293,-34.485,182.068
0.15,-1.319,0.57,54.81,-34.973,177.551
0.138,-1.263,0.548,46.204,-33.203,171.875
0.126,-1.205,0.521,39.49,-29.297,166.809
0.117,-1.162,0.499,36.194,-22.583,162.231
0.116,-1.128,0.471,34.485,-13.794,157.776
0.135,-1.115,0.472,34.668,-4.333,154.968
0.146,-1.07,0.483,36.377,3.601,152.649
0.161,-1.055,0.502,39.673,8.789,151.306
0.171,-1.045,0.503,43.274,10.864,148.743
0.201,-1.042,0.513,44.617,11.108,145.325
0.206,-1.028,0.51,43.152,10.01,140.564
0.194,-1.005,0.503,39.49,7.874,134.277
0.184,-0.97,0.493,33.813,5.432,127.38
0.185,-0.934,0.481,27.649,3.662,120.605
0.181,-0.915,0.461,21.057,1.16,113.586
0.176,-0.912,0.433,14.587,-1.77,106.201
0.18,-0.896,0.403,8.118,-4.395,99.06
0.2,-0.863,0.391,3.845,-6.409,91.675
0.233,-0.841,0.378,1.648,-9.644,83.801
0.252,-0.822,0.363,1.343,-13.977,75.378
0.25,-0.789,0.345,2.38,-18.127,67.322
0.263,-0.763,0.342,5.127,-21.606,59.875
0.3,-0.756,0.353,9.216,-24.719,52.307
0.332,-0.758,0.361,13.306,-28.87,44.495
0.341,-0.775,0.361,16.724,-33.447,37.72
0.35,-0.792,0.355,18.86,-38.147,31.799
0.358,-0.796,0.356,19.531,-41.809,26.306
0.363,-0.792,0.361,18.738,-44.189,21.667
0.37,-0.791,0.363,16.235,-45.654,18.25
0.385,-0.785,0.361,13.794,-46.387,15.137
0.396,-0.772,0.357,10.803,-46.509,12.756
0.403,-0.762,0.356,7.69,-44.739,11.414
0.407,-0.754,0.354,4.822,-41.138,10.864
0.407,-0.742,0.351,1.892,-35.706,10.925
0.407,-0.723,0.349,-0.366,-29.358,11.353
0.416,-0.704,0.349,-1.282,-22.156,12.085
0.306,-1.868,0.443,-24.048,-7.629,-335.083
0.313,-1.866,0.433,-22.644,-24.841,-337.646
0.295,-1.857,0.395,-19.592,-41.077,-339.661
0.262,-1.803,0.317,-15.442,-52.002,-340.149
0.246,-1.766,0.306,-9.399,-52.307,-336.06
0.197,-1.857,0.246,-2.563,-47.974,-328.796
0.18,-1.95,0.216,1.282,-39.001,-326.416
0.188,-1.92,0.238,1.709,-25.696,-326.843
0.23,-1.831,0.288,4.211,-13.855,-326.172
0.281,-1.769,0.283,10.498,-5.249,-321.167
0.29,-1.739,0.259,19.226,3.296,-311.707
0.282,-1.669,0.259,28.748,14.038,-299.805
0.313,-1.582,0.277,39.246,25.33,-284.912
0.375,-1.504,0.293,48.767,36.133,-267.517
0.421,-1.436,0.296,57.007,46.143,-248.779
0.442,-1.383,0.296,63.293,56.58,-228.821
0.465,-1.336,0.299,66.284,66.406,-208.557
0.487,-1.277,0.296,66.101,74.036,-187.439
0.503,-1.205,0.289,65.308,80.017,-165.161
0.522,-1.127,0.301,63.171,84.656,-141.418
0.541,-1.053,0.315,61.707,86.06,-116.638
0.559,-1.008,0.325,61.279,83.984,-91.125
0.569,-1.001,0.338,60.73,78.247,-66.406
0.57,-1.0,0.354,57.922,68.787,-44.617
0.563,-0.996,0.371,53.528,56.03,-25.085
0.543,-0.989,0.383,47.852,41.016,-7.751
0.505,-0.977,0.386,42.175,25.146,7.08
0.472,-0.979,0.384,36.438,10.071,20.02
0.433,-0.986,0.38,29.663,-3.967,30.457
0.391,-0.988,0.376,21.973,-15.015,38.879
0.349,-0.99,0.373,12.39,-23.804,45.471
0.304,-0.982,0.358,1.648,-29.602,50.598
0.257,-0.97,0.331,-9.033,-31.921,54.993
0.212,-0.962,0.298,-18.188,-30.029,59.204
0.177,-0.954,0.272,-25.818,-24.475,63.293
0.158,-0.947,0.26,-31.372,-16.418,67.932
0.15,-0.939,0.254,-36.072,-8.057,73.242
0.151,-0.93,0.241,-39.734,-0.671,79.834
0.152,-0.931,0.23,-41.809,5.432,87.28
0.15,-0.94,0.214,-42.969,10.071,95.093
0.151,-0.938,0.205,-43.396,13.672,103.577
0.159,-0.937,0.203,-42.48,15.137,112.183
0.161,-0.947,0.195,-39.673,14.832,120.605
0.156,-0.963,0.184,-35.828,12.634,128.357
0.147,-0.978,0.179,-30.64,10.254,135.376
0.133,-0.989,0.177,-24.353,7.812,141.602
0.125,-1.002,0.18,-17.273,5.676,147.644
0.113,-1.022,0.182,-9.888,3.723,153.015
0.111,-1.051,0.188,-3.54,2.808,157.715
0.11,-1.073,0.207,0.916,3.845,161.926
0.116,-1.073,0.234,3.479,5.188,166.687
0.14,-1.078,0.262,5.005,6.775,174.194
0.157,-1.105,0.283,5.798,7.568,184.387
0.162,-1.138,0.293,5.859,6.409,194.397
0.166,-1.16,0.295,4.883,3.662,203.369
0.171,-1.177,0.288,3.845,-0.61,210.754
0.175,-1.187,0.284,3.479,-5.554,215.088
0.171,-1.191,0.276,3.601,-11.23,216.736
0.168,-1.191,0.263,4.761,-17.151,215.759
0.166,-1.179,0.256,7.019,-22.461,213.013
0.173,-1.191,0.262,9.888,-26.55,208.862
0.176,-1.213,0.284,13.184,-29.663,203.979
0.176,-1.23,0.302,15.869,-33.813,197.998
0.183,-1.258,0.31,18.677,-39.001,191.284
0.18,-1.272,0.318,21.484,-43.762,184.937
0.177,-1.284,0.331,24.109,-47.729,179.26
0.171,-1.286,0.34,26.123,-51.025,174.377
0.173,-1.286,0.344,28.625,-53.223,170.532
0.179,-1.294,0.352,31.311,-54.26,167.847
0.168,-1.295,0.35,33.63,-54.688,165.771
0.162,-1.299,0.36,36.011,-53.223,163.757
0.159,-1.313,0.372,37.964,-49.988,161.865
0.153,-1.326,0.378,38.574,-45.776,160.339
0.149,-1.333,0.38,37.781,-40.833,158.386
0.151,-1.343,0.378,36.072,-35.767,155.518
0.158,-1.351,0.375,33.569,-30.701,152.222
0.158,-1.352,0.375,30.212,-25.818,148.499
0.155,-1.352,0.371,26.794,-20.874,144.348
0.153,-1.339,0.372,23.804,-15.808,140.198
0.161,-1.319,0.381,21.118,-11.353,136.108
0.188,-1.305,0.401,18.494,-8.118,132.812
0.204,-1.283,0.408,15.442,-6.775,130.615
0.206,-1.271,0.397,12.39,-7.69,128.662
0.205,-1.258,0.383,9.583,-8.728,127.625
0.219,-1.251,0.384,5.859,-8.789,127.197
0.234,-1.259,0.397,0.916,-7.385,127.075
0.235,-1.251,0.412,-5.798,-4.333,127.38
0.234,-1.226,0.419,-14.038,0.488,127.136
0.238,-1.203,0.414,-21.79,6.592,125.916
0.242,-1.177,0.399,-29.48,13.977,124.329
0.245,-1.135,0.388,-37.659,22.949,122.559
0.273,-1.086,0.384,-44.617,32.776,120.422
