aX,aY,aZ,gX,gY,gZ
0.709,1.291,0.692,-10.559,88.745,81.97
0.706,1.368,0.701,-6.653,87.097,90.698
0.706,1.434,0.657,-1.831,86.487,98.694
0.762,1.429,0.626,3.601,88.44,107.178
0.807,1.404,0.648,9.399,92.896,115.234
0.864,1.359,0.706,14.465,96.558,122.742
0.911,1.302,0.734,18.127,96.741,130.249
0.921,1.255,0.73,19.897,93.933,139.099
0.895,1.188,0.7,21.057,89.478,148.804
0.87,1.153,0.639,19.775,84.656,160.583
0.822,1.136,0.566,16.235,78.43,172.791
0.746,1.169,0.491,12.268,69.58,184.143
0.664,1.208,0.43,9.888,59.631,192.932
0.58,1.232,0.371,10.742,49.744,198.486
0.51,1.273,0.318,13.184,42.114,199.524
0.508,1.328,0.298,15.259,36.072,198.181
0.525,1.366,0.294,17.09,27.283,195.679
0.508,1.322,0.272,21.423,14.709,190.308
0.454,1.212,0.231,27.161,1.77,182.19
0.41,1.131,0.211,33.386,-6.897,174.133
0.432,1.056,0.242,39.429,-9.399,169.8
0.442,0.985,0.264,43.518,-9.644,173.462
0.428,0.911,0.279,45.898,-11.475,182.739
0.362,0.779,0.268,48.462,-13.0,190.43
0.263,0.62,0.242,52.673,-12.146,190.552
0.189,0.468,0.22,58.228,-9.155,181.274
0.236,0.349,0.247,64.27,-7.263,167.297
0.272,0.224,0.29,69.397,-16.479,153.381
0.23,0.12,0.308,74.768,-40.588,141.663
0.128,0.029,0.314,82.397,-71.777,131.592
0.033,-0.063,0.315,92.59,-100.769,123.352
-0.08,-0.174,0.335,102.478,-122.253,118.591
-0.235,-0.311,0.355,108.032,-131.775,120.422
-0.337,-0.451,0.386,108.276,-129.7,126.221
-0.395,-0.558,0.414,107.056,-118.591,126.709
-0.424,-0.62,0.434,106.323,-101.44,118.591
-0.416,-0.658,0.479,107.483,-81.36,105.774
-0.401,-0.674,0.535,112.488,-63.232,90.271
-0.395,-0.7,0.611,124.634,-45.715,73.181
-0.36,-0.738,0.723,142.395,-28.198,55.786
-0.279,-0.82,0.874,162.537,-13.245,39.795
-0.166,-0.903,1.046,177.979,-4.456,31.555
-0.071,-0.954,1.181,184.692,-6.775,30.579
-0.085,-1.019,1.282,183.228,-17.517,31.25
-0.114,-1.023,1.331,171.57,-30.273,32.41
-0.154,-0.999,1.341,154.175,-40.771,29.785
-0.224,-0.966,1.286,132.568,-44.922,19.226
-0.279,-0.915,1.217,107.666,-39.001,3.723
-0.315,-0.85,1.166,82.092,-23.132,-12.939
-0.315,-0.781,1.112,58.105,-0.244,-28.931
-0.263,-0.694,1.082,35.889,27.161,-40.405
-0.172,-0.62,1.08,16.724,54.993,-43.823
-0.069,-0.541,1.085,0.61,78.125,-36.621
0.02,-0.472,1.09,-12.39,93.14,-22.522
0.07,-0.414,1.102,-22.095,98.511,-7.751
0.092,-0.391,1.114,-28.015,95.276,4.272
0.098,-0.376,1.116,-32.41,86.426,13.123
0.077,-0.359,1.105,-35.889,73.364,17.7
0.025,-0.337,1.09,-40.161,59.265,20.386
-0.035,-0.305,1.067,-44.495,47.302,23.254
-0.093,-0.268,1.037,-48.95,39.917,26.611
-0.129,-0.234,1.021,-52.917,37.109,29.724
-0.157,-0.209,1.017,-56.641,37.659,32.288
-0.19,-0.188,1.0,-58.655,39.917,33.264
-0.214,-0.153,1.001,-60.181,44.678,32.715
-0.22,-0.123,1.009,-60.974,50.476,31.738
-0.219,-0.111,1.011,-59.57,54.81,30.884
-0.201,-0.06,1.026,-58.105,57.495,29.236
-0.167,-0.02,1.056,-56.702,56.458,27.283
-0.124,-0.012,1.064,-54.138,49.744,25.879
-0.108,-0.025,1.051,-51.453,39.307,24.78
-0.11,-0.035,1.055,-49.316,28.259,23.499
-0.144,-0.041,1.005,-46.875,18.433,22.583
-0.195,-0.011,0.987,-45.227,13.489,21.851
-0.218,0.006,0.973,-44.189,12.146,22.034
-0.22,0.015,0.954,-42.358,13.062,22.644
-0.215,0.022,0.944,-41.87,15.93,23.132
-0.225,0.017,0.929,-42.664,18.677,23.499
-0.255,0.034,0.898,-43.884,22.034,23.01
-0.258,0.071,0.908,-45.288,27.222,20.508
-0.242,0.102,0.929,-44.8,31.738,17.395
-0.245,0.11,0.891,-42.908,33.203,14.587
-0.239,0.136,0.9,-41.077,35.706,11.23
-0.221,0.163,0.911,-38.513,37.476,8.728
-0.215,0.193,0.901,-34.485,37.659,6.226
-0.158,0.264,0.976,-31.311,37.354,3.662
-0.11,0.246,0.991,-27.832,30.579,5.432
-0.097,0.207,0.998,-25.635,18.25,9.033
-0.092,0.203,1.01,-25.513,4.761,11.23
-0.124,0.185,0.996,-25.818,-9.338,11.169
-0.186,0.193,0.954,-26.611,-20.447,8.606
-0.248,0.247,0.918,-27.893,-25.208,4.211
-0.285,0.284,0.9,-28.381,-23.01,-0.366
-0.279,0.276,0.897,-27.649,-15.015,-4.395
-0.255,0.281,0.914,-25.513,-5.493,-8.362
-0.214,0.278,0.924,-23.865,1.892,-11.292
-0.172,0.234,0.909,-23.682,6.287,-11.841
-0.159,0.23,0.903,-25.757,9.399,-10.803
-0.157,0.231,0.88,-28.442,10.986,-10.01
-0.171,0.26,0.85,-30.945,13.428,-10.376
-0.184,0.295,0.838,-32.41,18.127,-12.085
-0.17,0.313,0.844,-31.616,23.926,-14.282
-0.127,0.316,0.866,-28.931,28.503,-16.846
-0.092,0.271,0.834,-25.574,29.541,-19.104
-0.099,0.234,0.761,-22.888,31.555,-21.79
-0.106,0.275,0.773,-20.813,39.429,-25.208
-0.002,0.325,0.972,-18.677,44.556,-26.55
0.106,0.313,0.888,-18.005,28.687,-21.79
0.126,0.304,0.838,-19.836,11.108,-16.235
0.072,0.336,0.841,-22.766,0.061,-15.015
0.011,0.379,0.848,-24.597,-10.254,-14.465
-0.029,0.362,0.826,-25.513,-20.691,-14.709
-0.048,0.351,0.805,-25.879,-26.855,-17.029
-0.075,0.365,0.801,-26.855,-28.992,-20.569
-0.086,0.337,0.778,-27.161,-28.381,-23.804
-0.109,0.336,0.766,-27.283,-23.926,-27.161
-0.102,0.36,0.793,-26.917,-17.273,-30.701
-0.1,0.372,0.796,-26.55,-12.268,-32.654
-0.113,0.405,0.782,-28.442,-9.277,-32.227
0.587,1.6,0.412,23.437,93.933,102.6
0.643,1.569,0.43,31.494,90.759,104.98
0.686,1.503,0.457,38.513,81.36,107.666
0.691,1.42,0.458,43.213,66.833,111.877
0.656,1.324,0.429,42.786,49.866,120.544
0.561,1.271,0.38,36.621,33.386,132.263
0.415,1.246,0.315,26.428,21.118,144.409
0.267,1.245,0.231,16.113,16.113,154.541
0.141,1.251,0.144,6.287,19.531,162.109
0.037,1.282,0.053,-2.93,29.48,166.565
0.002,1.317,0.011,-10.193,44.067,166.443
-0.007,1.314,-0.007,-12.268,59.692,160.95
0.042,1.313,0.005,-10.559,72.51,152.771
0.206,1.329,0.072,-6.104,76.66,143.677
0.328,1.356,0.123,3.54,66.711,130.798
0.365,1.403,0.128,19.836,44.983,117.31
0.356,1.426,0.122,38.33,17.761,109.314
0.306,1.388,0.094,57.922,-8.606,107.361
0.261,1.313,0.09,78.247,-28.931,106.018
