aX,aY,aZ,gX,gY,gZ
0.418,1.206,1.289,-112.549,50.415,-3.54
0.478,1.482,1.43,-118.774,53.894,-2.808
0.551,1.731,1.6,-122.925,57.19,2.258
0.55,1.862,1.744,-127.136,59.631,11.902
0.526,1.985,1.861,-136.902,63.11,24.902
0.476,2.053,1.947,-152.588,66.956,39.978
0.386,2.178,2.037,-173.462,69.153,56.152
0.24,2.34,2.117,-195.19,70.129,70.984
0.049,2.411,2.144,-215.027,70.374,85.876
-0.132,2.59,2.172,-232.361,70.557,100.037
-0.298,2.664,2.17,-243.591,72.144,111.145
-0.423,2.67,2.138,-250.488,75.317,121.277
-0.463,2.677,2.081,-252.441,80.688,126.465
-0.413,2.614,1.947,-245.972,84.717,125.61
-0.297,2.51,1.747,-234.009,82.458,119.446
-0.164,2.48,1.475,-217.957,69.763,106.812
0.02,2.399,1.128,-197.815,51.758,87.708
0.252,2.378,0.784,-176.697,34.302,66.711
0.537,2.271,0.498,-155.457,21.973,47.241
0.798,1.929,0.19,-136.536,12.207,30.09
0.832,1.566,-0.136,-127.502,4.456,14.282
0.851,1.284,-0.38,-130.676,1.648,5.615
0.931,1.024,-0.541,-142.578,-0.061,9.644
0.839,0.859,-0.688,-158.997,-10.498,21.24
0.585,0.731,-0.83,-173.584,-27.161,37.109
0.359,0.637,-0.915,-184.998,-39.673,59.692
0.199,0.578,-0.929,-186.768,-46.326,82.031
0.074,0.541,-0.863,-173.889,-50.781,96.252
-0.021,0.468,-0.738,-145.935,-56.458,100.403
-0.093,0.335,-0.605,-107.483,-65.552,95.154
-0.165,0.131,-0.526,-64.148,-77.759,80.566
-0.246,-0.11,-0.446,-22.522,-86.67,55.725
-0.3,-0.351,-0.339,16.541,-81.299,21.057
-0.298,-0.584,-0.246,48.584,-55.908,-17.151
-0.248,-0.784,-0.163,62.683,-15.686,-47.791
-0.161,-0.881,-0.066,53.894,33.142,-62.439
0.021,-0.894,0.015,27.588,81.36,-59.143
0.281,-0.845,0.099,-5.432,115.051,-41.992
0.505,-0.746,0.214,-35.645,126.038,-18.86
0.64,-0.649,0.336,-58.044,112.854,3.723
0.665,-0.582,0.394,-70.801,77.637,23.315
0.597,-0.54,0.383,-74.707,30.762,37.109
0.49,-0.516,0.331,-71.838,-15.015,44.922
0.368,-0.505,0.258,-63.538,-51.758,46.509
0.228,-0.507,0.182,-51.086,-74.89,42.236
0.097,-0.516,0.115,-36.865,-83.679,34.058
0.007,-0.547,0.069,-22.339,-79.773,24.475
-0.038,-0.574,0.049,-8.301,-66.04,14.587
-0.069,-0.589,0.05,4.028,-45.105,5.493
-0.061,-0.614,0.053,14.282,-19.653,-2.747
-0.011,-0.644,0.062,23.01,8.118,-10.803
0.042,-0.65,0.081,29.602,36.072,-18.86
0.103,-0.645,0.107,35.461,61.279,-25.696
0.167,-0.652,0.113,41.016,80.933,-31.555
0.21,-0.661,0.101,45.227,95.764,-36.804
0.229,-0.656,0.096,47.302,106.14,-40.833
0.231,-0.652,0.096,47.241,113.586,-41.992
0.245,-0.649,0.101,44.373,119.507,-39.612
0.276,-0.64,0.102,38.635,123.474,-35.095
0.295,-0.633,0.098,30.762,123.901,-29.358
0.309,-0.598,0.092,20.02,120.667,-21.912
0.322,-0.561,0.097,8.423,113.159,-13.123
0.348,-0.542,0.12,-3.296,101.99,-4.883
0.361,-0.505,0.124,-14.893,86.426,0.977
0.351,-0.438,0.134,-25.208,68.054,4.272
0.345,-0.392,0.138,-32.471,48.157,5.249
0.292,-0.36,0.09,-37.476,28.137,4.578
0.185,-0.255,0.036,-41.382,12.939,1.587
0.052,-0.117,-0.004,-43.335,5.859,-0.732
-0.087,-0.016,-0.062,-43.64,7.812,1.526
-0.23,0.117,-0.131,-46.387,19.775,10.254
-0.292,0.248,-0.169,-51.208,39.551,24.841
-0.253,0.325,-0.192,-55.542,61.218,42.847
-0.176,0.417,-0.2,-57.739,77.942,59.265
-0.116,0.522,-0.182,-56.885,84.595,71.167
-0.089,0.63,-0.18,-52.917,81.482,80.139
-0.098,0.814,-0.197,-46.448,71.045,86.121
-0.16,1.126,-0.181,-37.415,58.044,87.524
-0.229,1.445,-0.162,-21.729,46.082,81.604
-0.222,1.684,-0.208,-2.258,35.645,67.81
-0.126,1.928,-0.226,12.634,23.804,48.706
-0.026,2.143,-0.175,23.315,4.578,29.846
0.085,2.186,-0.141,35.217,-26.184,15.32
0.124,2.133,-0.134,48.706,-64.27,3.967
0.061,2.007,-0.134,63.049,-99.548,-2.563
-0.048,1.869,-0.116,75.684,-123.047,-2.747
-0.105,1.787,-0.11,84.473,-131.897,0.488
-0.205,1.813,-0.115,90.576,-126.953,3.418
-0.438,1.902,-0.178,96.985,-109.924,1.526
-0.569,2.035,-0.213,107.239,-74.89,-6.47
-0.593,2.105,-0.174,120.911,-26.55,-15.564
-0.55,2.066,-0.083,138.062,20.752,-22.644
-0.432,1.888,0.017,155.945,58.289,-28.625
-0.254,1.663,0.15,170.227,81.421,-36.56
-0.102,1.498,0.329,178.406,88.867,-50.171
0.022,1.501,0.505,177.917,81.238,-59.204
0.178,1.389,0.604,169.495,59.082,-50.171
0.321,1.177,0.645,151.794,28.198,-35.522
0.372,1.007,0.647,125.061,-4.333,-31.433
0.319,0.911,0.588,91.187,-33.813,-39.795
0.183,0.833,0.461,52.49,-55.542,-57.8
0.021,0.825,0.309,13.184,-64.209,-83.984
-0.115,0.918,0.18,-20.752,-57.19,-113.342
-0.26,0.998,0.044,-44.556,-36.926,-138.672
-0.339,1.104,-0.017,-56.885,-5.066,-159.058
-0.286,1.116,-0.06,-59.692,33.386,-171.631
-0.234,1.242,-0.031,-57.251,68.42,-183.96
0.191,1.557,0.08,-53.04,91.309,-185.303
0.31,1.205,0.05,-44.128,92.773,-167.786
0.314,1.194,-0.047,-44.617,77.454,-169.617
0.396,1.321,0.007,-45.044,62.073,-166.26
0.361,1.199,-0.15,-41.87,44.861,-153.503
0.306,1.115,-0.247,-37.598,35.156,-149.292
0.21,1.16,-0.26,-34.119,41.626,-156.433
0.182,1.444,-0.151,-26.184,52.307,-158.447
0.391,1.412,-0.25,-11.353,56.641,-141.296
0.302,1.058,-0.285,2.136,73.12,-135.62
0.312,1.328,-0.182,11.78,83.679,-156.555
0.528,1.201,-0.175,24.658,88.196,-151.306
0.949,1.93,-0.097,2.625,45.471,105.042
1.098,2.151,-0.063,6.409,33.691,114.746
1.197,2.359,-0.029,9.46,20.203,123.718
1.25,2.548,-0.017,9.216,4.761,132.935
1.202,2.744,-0.009,6.226,-5.798,140.442
1.075,2.861,-0.063,2.319,-7.507,146.79
1.05,3.094,-0.048,-2.136,4.7,154.114
1.056,3.009,-0.161,-2.197,26.184,166.87
1.105,3.105,-0.219,-0.732,54.199,171.997
1.102,3.234,-0.18,4.333,81.482,174.805
1.149,3.136,-0.27,17.883,92.102,191.956
1.23,3.105,-0.272,34.668,92.529,208.984
1.185,2.939,-0.337,53.162,81.055,223.633
0.943,2.828,-0.328,67.261,63.965,231.934
0.667,2.613,-0.279,77.942,44.067,242.798
0.388,2.389,-0.246,82.397,22.4,249.207
0.029,2.218,-0.178,77.271,1.099,248.23
-0.348,2.032,-0.16,65.369,-15.625,238.525
-0.672,1.82,-0.197,48.34,-23.376,219.788
-0.951,1.596,-0.252,28.32,-17.822,190.308
-1.131,1.457,-0.276,9.094,1.709,152.344
-1.118,1.33,-0.239,-6.287,28.687,114.441
-0.974,1.21,-0.197,-17.639,53.223,78.43
-0.793,1.094,-0.156,-23.865,68.665,45.471
-0.646,0.953,-0.116,-23.193,73.73,18.86
-0.548,0.813,-0.089,-18.005,69.885,-0.122
-0.495,0.672,-0.079,-11.23,61.89,-13.611
-0.476,0.51,-0.097,-3.052,54.077,-24.597
-0.47,0.38,-0.107,4.944,50.537,-33.752
-0.446,0.296,-0.101,12.329,51.453,-40.588
-0.405,0.198,-0.099,19.409,54.932,-44.189
-0.384,0.088,-0.125,24.292,59.265,-46.082
-0.361,-0.014,-0.129,24.109,67.139,-46.57
-0.281,-0.148,-0.072,18.433,77.942,-42.725
-0.206,-0.275,-0.023,7.874,86.548,-34.973
-0.156,-0.337,0.011,-5.92,90.82,-26.55
-0.092,-0.408,0.058,-19.592,92.407,-19.47
-0.03,-0.5,0.068,-31.86,91.431,-14.709
0.01,-0.565,0.061,-43.945,88.623,-12.207
0.045,-0.615,0.05,-55.298,82.886,-12.817
0.084,-0.65,0.036,-64.514,73.975,-18.372
0.12,-0.671,0.036,-70.19,62.378,-28.137
0.162,-0.719,0.041,-73.425,48.95,-39.795
0.266,-0.783,0.068,-74.707,33.569,-51.941
0.379,-0.83,0.101,-76.782,15.503,-62.5
0.448,-0.855,0.124,-79.895,-6.348,-69.824
0.486,-0.865,0.105,-80.627,-31.677,-72.693
0.5,-0.861,0.077,-77.942,-56.702,-72.937
0.495,-0.883,0.058,-71.777,-79.163,-73.608
0.519,-0.93,0.034,-62.012,-98.633,-77.087
0.552,-0.976,0.03,-49.805,-115.356,-84.473
0.592,-1.005,0.04,-37.292,-129.517,-92.59
0.648,-1.03,0.043,-27.832,-141.846,-95.154
0.701,-1.007,0.029,-23.071,-153.198,-88.44
0.718,-0.921,0.011,-21.301,-163.086,-75.806
0.711,-0.825,-0.022,-19.714,-169.861,-60.974
0.672,-0.734,-0.07,-19.287,-173.218,-45.776
0.623,-0.618,-0.118,-20.203,-172.546,-33.752
0.589,-0.448,-0.131,-21.729,-167.908,-26.367
0.569,-0.247,-0.127,-22.766,-161.377,-21.79
0.564,-0.011,-0.137,-23.804,-155.151,-18.738
0.473,0.309,-0.169,-28.381,-148.56,-16.663
0.302,0.635,-0.228,-36.194,-137.207,-11.841
0.134,0.931,-0.295,-44.495,-118.652,-0.854
0.027,1.128,-0.346,-50.232,-93.079,14.465
-0.018,1.248,-0.392,-52.185,-65.735,28.931
-0.037,1.305,-0.421,-50.049,-41.748,38.025
-0.091,1.34,-0.426,-44.617,-22.888,41.199
-0.116,1.301,-0.39,-36.56,-7.996,42.297
-0.107,1.218,-0.358,-29.297,0.732,43.03
-0.073,1.138,-0.331,-24.353,3.601,40.161
-0.067,1.139,-0.318,-24.353,2.014,31.677
-0.103,1.282,-0.384,-26.855,-0.977,21.79
-0.208,1.338,-0.462,-26.672,2.563,19.836
-0.239,1.401,-0.519,-22.034,14.771,19.165
