aX,aY,aZ,gX,gY,gZ
1.003,-0.796,0.855,-38.269,-25.574,-24.475
0.965,-0.885,0.836,-45.959,-35.095,-27.222
0.909,-0.982,0.807,-55.908,-40.894,-30.884
0.837,-1.075,0.759,-67.932,-42.847,-34.851
0.763,-1.171,0.703,-81.787,-40.466,-39.978
0.698,-1.287,0.635,-97.595,-33.997,-47.241
0.669,-1.439,0.552,-116.577,-24.17,-56.458
0.669,-1.585,0.449,-138.855,-12.085,-67.261
0.696,-1.72,0.348,-164.062,1.282,-79.407
0.762,-1.838,0.252,-192.139,15.564,-92.224
0.874,-1.98,0.154,-221.741,28.931,-105.347
0.997,-2.089,0.009,-252.625,38.94,-118.713
1.094,-2.144,-0.164,-286.438,47.974,-133.24
1.179,-2.156,-0.342,-322.876,57.617,-145.264
1.257,-2.122,-0.5,-357.666,67.871,-153.687
1.357,-2.031,-0.622,-386.23,78.857,-161.194
1.499,-1.834,-0.676,-407.715,90.027,-168.518
1.653,-1.677,-0.713,-421.143,94.971,-178.162
1.75,-1.57,-0.843,-432.312,90.393,-187.866
1.826,-1.456,-1.037,-445.068,77.881,-195.984
1.878,-1.263,-1.293,-456.909,62.561,-203.796
1.899,-0.947,-1.465,-463.196,48.889,-211.731
1.922,-0.592,-1.52,-459.351,39.917,-216.248
1.945,-0.306,-1.509,-443.848,33.691,-214.783
1.94,-0.089,-1.448,-418.823,27.771,-209.839
1.943,0.04,-1.408,-388.611,18.982,-204.041
1.922,0.143,-1.411,-357.91,4.822,-199.585
1.901,0.271,-1.376,-329.773,-11.597,-196.35
1.845,0.412,-1.306,-303.467,-30.212,-192.444
1.743,0.564,-1.228,-279.48,-48.645,-186.89
1.639,0.703,-1.157,-257.08,-63.293,-180.481
1.541,0.823,-1.095,-236.938,-72.51,-173.584
1.435,0.923,-1.027,-217.712,-75.073,-166.809
1.317,1.019,-0.947,-202.454,-70.313,-160.889
1.199,1.092,-0.873,-190.491,-58.838,-155.701
1.072,1.143,-0.807,-181.396,-42.236,-150.33
0.966,1.171,-0.755,-174.438,-21.423,-144.043
0.904,1.179,-0.702,-168.762,1.038,-136.597
0.856,1.183,-0.65,-163.696,22.766,-129.456
0.864,1.192,-0.581,-158.325,41.382,-122.803
0.932,1.198,-0.488,-150.635,54.016,-115.356
1.016,1.199,-0.379,-140.686,57.617,-105.652
1.108,1.206,-0.262,-127.686,50.781,-92.529
1.137,1.197,-0.168,-112.183,35.156,-76.294
1.104,1.156,-0.11,-95.215,15.381,-58.838
1.026,1.104,-0.08,-79.651,-1.404,-41.382
0.968,1.069,-0.038,-66.223,-10.132,-25.513
0.927,1.042,0.011,-55.115,-10.986,-12.695
0.907,1.009,0.041,-44.495,-6.775,-3.784
0.895,0.981,0.073,-34.363,1.099,2.258
0.923,0.949,0.105,-23.682,10.315,6.897
0.987,0.916,0.154,-11.902,18.677,9.155
1.064,0.873,0.182,0.977,24.17,12.268
1.161,0.827,0.233,14.038,26.917,17.944
1.244,0.771,0.277,27.405,25.635,26.672
1.307,0.719,0.312,40.161,19.348,38.574
1.341,0.672,0.338,51.758,8.972,51.331
1.303,0.599,0.33,61.768,-3.357,63.416
1.237,0.542,0.314,69.397,-14.893,74.158
1.157,0.491,0.281,75.073,-24.048,83.557
1.078,0.443,0.253,79.529,-29.053,90.698
1.075,0.389,0.25,83.313,-29.419,95.703
1.078,0.335,0.228,87.524,-28.076,98.633
1.092,0.303,0.226,91.614,-24.597,100.586
1.148,0.293,0.24,95.581,-20.935,104.675
1.216,0.279,0.258,100.586,-20.63,110.596
1.261,0.263,0.257,106.995,-24.536,116.211
1.258,0.245,0.238,114.929,-30.823,120.544
1.231,0.229,0.229,123.535,-35.889,123.84
1.199,0.199,0.212,132.446,-38.879,127.686
1.138,0.153,0.186,140.137,-38.635,131.226
1.073,0.106,0.155,145.447,-34.851,134.521
1.01,0.063,0.122,148.56,-27.649,137.085
0.98,0.027,0.102,149.536,-17.456,138.184
1.014,0.03,0.122,149.841,-5.493,138.306
1.042,-0.065,0.07,151.184,3.845,138.855
1.089,-0.004,0.196,151.306,12.146,136.23
1.175,0.001,0.171,153.687,10.071,137.268
1.22,-0.019,0.156,159.424,1.648,141.968
1.203,-0.014,0.167,165.222,-7.263,145.569
1.148,-0.027,0.147,172.913,-16.968,148.01
1.06,-0.06,0.113,181.335,-22.827,149.353
0.987,-0.075,0.11,188.599,-20.935,148.926
0.965,-0.104,0.118,194.397,-14.099,147.522
0.952,-0.147,0.119,197.632,-7.019,145.813
0.954,-0.174,0.141,197.815,-0.732,143.066
0.96,-0.191,0.165,196.35,4.517,139.404
0.968,-0.208,0.178,193.909,8.545,135.254
0.98,-0.216,0.207,190.308,12.939,131.47
1.004,-0.224,0.237,187.317,16.541,128.601
1.02,-0.228,0.257,184.875,18.921,127.136
1.03,-0.224,0.283,183.777,20.325,125.916
1.024,-0.232,0.298,183.838,20.874,124.268
1.007,-0.259,0.309,184.692,21.423,121.582
0.965,-0.31,0.312,184.509,22.644,117.676
0.959,-0.305,0.37,183.411,24.414,112.488
0.971,-0.348,0.38,181.641,24.048,109.009
0.961,-0.359,0.406,178.162,22.034,106.079
0.913,-0.395,0.387,173.035,19.043,103.821
0.866,-0.39,0.391,166.321,19.043,100.22
0.871,-0.373,0.424,158.813,22.644,96.008
0.858,-0.382,0.415,151.062,25.269,93.018
0.861,-0.36,0.422,141.907,28.992,90.149
0.868,-0.332,0.422,133.179,32.471,86.914
0.924,-0.348,0.416,125.488,34.851,84.29
0.975,-0.293,0.46,118.103,35.706,78.735
0.929,-0.274,0.439,111.938,30.151,74.707
0.933,-0.222,0.455,106.995,25.085,72.083
0.901,-0.219,0.429,103.821,20.447,70.19
0.897,-0.18,0.467,100.891,19.409,68.115
0.879,-0.172,0.447,98.755,17.212,67.322
0.847,-0.164,0.439,95.581,16.846,66.589
0.843,-0.129,0.472,92.529,18.372,64.941
0.829,-0.153,0.438,89.478,18.066,63.416
0.804,-0.12,0.461,85.083,19.592,59.387
0.773,-0.141,0.423,80.872,20.996,56.702
0.734,-0.129,0.426,75.684,25.94,54.382
0.748,-0.13,0.433,70.313,33.264,52.307
0.752,-0.148,0.402,65.002,40.771,50.11
1.168,-0.751,0.875,-87.28,-28.809,-45.776
1.191,-0.847,0.865,-97.168,-41.931,-49.377
1.19,-0.95,0.842,-107.605,-54.749,-52.612
1.175,-1.07,0.8,-118.225,-64.941,-56.885
1.167,-1.204,0.745,-131.165,-71.594,-62.561
1.15,-1.365,0.698,-145.996,-75.134,-68.176
1.144,-1.543,0.667,-163.208,-76.965,-72.388
1.13,-1.747,0.606,-183.594,-79.407,-77.148
1.063,-1.997,0.46,-207.703,-81.97,-87.341
1.017,-2.197,0.243,-236.816,-77.759,-104.553
1.088,-2.339,0.057,-271.301,-62.927,-123.901
1.251,-2.474,-0.144,-307.068,-44.617,-142.7
1.47,-2.55,-0.392,-344.299,-27.832,-161.377
1.694,-2.558,-0.615,-380.676,-12.756,-179.382
1.886,-2.433,-0.757,-411.499,2.869,-194.702
2.122,-2.273,-0.851,-432.556,21.606,-205.139
2.336,-2.071,-0.989,-444.458,41.504,-213.928
2.373,-1.871,-1.229,-454.834,61.279,-219.971
2.291,-1.642,-1.497,-470.52,78.552,-214.6
2.201,-1.385,-1.803,-489.441,87.28,-197.083
2.139,-1.105,-2.059,-504.456,82.397,-179.321
2.045,-0.794,-2.164,-512.817,64.209,-168.762
1.92,-0.501,-2.186,-509.827,31.921,-163.33
1.787,-0.259,-2.197,-494.263,-8.423,-163.33
1.6,-0.01,-2.179,-469.36,-46.204,-166.626
1.465,0.257,-2.118,-436.401,-77.576,-169.556
1.392,0.47,-2.025,-393.677,-101.44,-171.631
1.329,0.64,-1.893,-346.191,-117.554,-173.645
1.295,0.785,-1.718,-300.598,-126.038,-174.927
1.258,0.881,-1.527,-259.216,-127.808,-175.537
1.206,0.943,-1.357,-224.426,-123.657,-174.316
1.141,0.984,-1.205,-199.036,-113.77,-170.715
1.068,1.015,-1.078,-182.068,-98.389,-165.222
1.022,1.036,-0.969,-172.607,-79.468,-157.41
0.969,1.069,-0.886,-170.593,-60.852,-148.01
0.928,1.131,-0.839,-173.34,-44.006,-138.0
0.93,1.225,-0.788,-176.88,-28.503,-128.723
0.964,1.342,-0.727,-176.636,-15.991,-118.652
0.998,1.439,-0.69,-168.64,-8.362,-107.91
1.037,1.498,-0.663,-152.283,-4.456,-96.68
1.035,1.516,-0.636,-130.615,-2.625,-84.656
1.018,1.502,-0.599,-105.774,-0.488,-72.571
1.01,1.436,-0.551,-80.505,5.066,-61.89
1.03,1.361,-0.485,-57.678,13.916,-51.514
1.077,1.279,-0.413,-38.452,23.743,-39.978
1.162,1.187,-0.328,-23.315,30.884,-26.489
1.22,1.117,-0.254,-12.634,31.189,-10.742
1.23,1.041,-0.212,-3.845,25.391,4.456
1.206,0.985,-0.187,2.502,17.395,18.86
1.162,0.947,-0.171,8.057,9.827,30.823
1.119,0.911,-0.166,15.259,5.249,38.94
1.104,0.888,-0.152,25.085,6.409,42.542
1.119,0.877,-0.117,37.537,13.306,43.579
1.146,0.784,-0.115,52.551,23.437,44.8
1.211,0.781,-0.044,66.589,33.569,43.945
1.304,0.709,-0.035,82.886,37.964,45.227
1.347,0.623,-0.004,98.389,36.987,48.34
1.416,0.579,0.03,110.229,32.41,54.443
1.456,0.511,0.043,121.277,23.56,64.758
1.442,0.442,0.022,130.432,12.268,75.623
1.373,0.391,-0.01,136.23,1.831,86.548
1.33,0.369,-0.009,140.32,-5.737,95.825
1.301,0.317,-0.027,145.081,-11.414,102.6
1.247,0.264,-0.08,149.902,-16.113,106.384
1.194,0.24,-0.107,154.541,-17.456,108.215
1.177,0.222,-0.13,160.461,-16.479,109.924
1.159,0.207,-0.143,167.542,-13.977,112.427
1.154,0.177,-0.157,175.11,-11.353,115.479
1.171,0.172,-0.142,182.983,-10.193,118.164
1.196,0.129,-0.145,191.65,-10.864,121.948
1.137,0.048,-0.183,200.012,-13.123,124.451
1.133,0.04,-0.152,205.505,-12.817,124.329
1.125,-0.009,-0.148,211.914,-11.658,124.695
1.139,0.051,-0.094,213.684,-9.155,123.962
1.134,-0.051,-0.112,216.064,-9.216,130.249
1.149,-0.107,-0.13,215.942,-9.094,137.024
1.204,-0.074,-0.062,215.027,-6.348,137.939
1.12,-0.115,-0.152,216.248,-8.85,136.047
1.105,-0.126,-0.131,216.614,-4.333,133.606
1.124,-0.082,-0.094,219.91,1.892,129.456
1.124,-0.227,-0.214,225.647,6.653,130.066
1.023,-0.201,-0.137,229.675,16.663,125.0
1.22,-0.067,-0.006,230.225,25.146,120.422
1.226,-0.228,-0.114,235.718,21.545,125.183
1.244,-0.185,-0.045,235.107,19.958,125.732
1.278,-0.207,-0.04,236.084,14.709,126.892
1.262,-0.22,-0.039,237.549,7.996,126.587
1.263,-0.214,-0.016,239.197,2.38,125.549
1.234,-0.245,-0.021,241.577,-2.075,125.61
1.218,-0.254,0.006,242.554,-3.906,126.343
1.214,-0.265,0.032,243.164,-4.7,127.136
1.18,-0.297,0.036,242.493,-5.066,127.869
1.132,-0.319,0.058,240.173,-3.601,128.052
1.108,-0.332,0.092,236.938,-0.427,127.197
1.087,-0.365,0.111,232.849,2.991,125.916
1.046,-0.379,0.134,226.746,7.751,123.779
1.031,-0.385,0.169,219.788,12.756,121.826
1.026,-0.389,0.2,211.975,16.602,119.446
1.005,-0.404,0.213,203.552,18.921,116.211
0.97,-0.399,0.226,195.068,21.423,112.549
0.937,-0.399,0.237,186.646,24.353,109.009
0.918,-0.406,0.252,179.077,28.076,105.774
0.908,-0.409,0.27,172.302,31.25,102.112
0.919,-0.406,0.3,166.138,33.142,97.534
0.946,-0.404,0.326,160.828,32.837,92.834
0.967,-0.41,0.351,156.25,30.212,88.196
1.006,-0.413,0.382,151.917,26.55,84.351
1.024,-0.408,0.406,147.705,22.217,81.726
1.027,-0.419,0.433,143.555,17.395,79.956
1.0,-0.424,0.445,139.038,12.207,78.369
0.953,-0.413,0.448,133.545,8.606,76.294
0.924,-0.417,0.463,127.686,7.935,73.975
0.897,-0.422,0.474,121.338,9.46,71.045
0.865,-0.411,0.482,113.525,13.306,68.054
0.822,-0.425,0.474,104.492,18.982,64.575
0.758,-0.418,0.447,94.177,26.978,59.509
0.754,-0.385,0.442,83.313,39.063,52.856
0.786,-0.359,0.458,72.876,51.27,47.302
0.813,-0.339,0.457,63.232,59.143,42.419
1.135,-0.554,1.142,-30.151,-38.33,-3.662
1.109,-0.748,1.218,-42.725,-40.161,-7.385
1.1,-0.953,1.279,-58.838,-37.598,-14.221
1.101,-1.219,1.316,-77.759,-32.166,-22.766
1.075,-1.503,1.312,-100.708,-25.269,-31.921
1.006,-1.802,1.264,-128.357,-16.296,-41.016
0.941,-2.092,1.128,-158.63,-3.235,-51.88
0.904,-2.347,0.918,-192.566,15.991,-65.796
0.928,-2.521,0.659,-230.347,39.551,-81.177
0.997,-2.656,0.349,-268.188,64.453,-96.313
1.145,-2.688,0.024,-306.213,85.815,-108.215
1.404,-2.625,-0.314,-343.567,97.717,-117.004
1.723,-2.508,-0.714,-374.146,95.642,-126.16
2.036,-2.267,-1.077,-400.635,77.515,-132.019
2.263,-1.868,-1.32,-419.983,47.058,-132.202
2.167,-1.558,-1.616,-426.758,6.714,-126.099
1.971,-1.301,-1.949,-425.903,-30.701,-116.821
1.695,-1.049,-2.295,-423.645,-53.833,-115.479
1.438,-0.715,-2.493,-421.875,-56.458,-123.413
1.335,-0.401,-2.546,-417.114,-47.363,-129.822
1.284,-0.093,-2.507,-407.776,-39.429,-131.775
1.228,0.153,-2.442,-392.395,-40.71,-131.836
1.194,0.339,-2.319,-373.596,-51.27,-131.653
1.16,0.509,-2.226,-357.056,-69.153,-128.662
1.105,0.795,-2.059,-340.881,-89.966,-125.854
1.005,1.051,-1.868,-315.43,-107.056,-126.404
0.995,1.241,-1.686,-281.067,-116.272,-128.967
1.082,1.367,-1.447,-243.896,-116.638,-131.653
1.151,1.419,-1.261,-207.458,-110.474,-132.568
1.202,1.47,-1.141,-176.086,-98.45,-127.441
1.222,1.473,-1.023,-150.024,-80.627,-118.225
1.21,1.395,-0.901,-127.38,-59.57,-106.018
1.22,1.269,-0.777,-111.572,-39.368,-87.891
1.22,1.156,-0.669,-105.408,-23.743,-64.88
1.129,1.045,-0.617,-106.384,-14.587,-43.884
0.973,0.986,-0.594,-110.229,-7.874,-29.114
0.86,0.95,-0.562,-111.877,1.16,-20.142
0.824,0.922,-0.515,-108.826,12.024,-15.32
0.854,0.893,-0.463,-100.159,21.362,-13.672
0.925,0.872,-0.372,-87.097,27.161,-12.817
0.993,0.832,-0.258,-70.984,27.344,-8.789
1.029,0.768,-0.149,-53.528,21.667,-1.16
1.035,0.695,-0.057,-37.231,12.512,8.301
1.019,0.6,0.047,-23.865,2.747,15.93
0.964,0.491,0.095,-14.343,-4.517,20.996
0.905,0.418,0.134,-9.399,-6.531,24.231
0.877,0.4,0.149,-7.935,-2.747,24.597
0.871,0.418,0.179,-6.226,4.578,20.081
0.899,0.442,0.221,-1.465,14.282,13.062
0.991,0.452,0.277,6.042,24.414,8.606
1.09,0.457,0.334,15.564,30.334,8.301
1.162,0.449,0.38,27.283,28.992,9.705
1.2,0.417,0.424,39.307,21.851,11.597
1.191,0.374,0.426,50.964,10.803,15.259
1.134,0.32,0.365,60.059,-0.916,19.226
1.081,0.294,0.304,65.735,-9.155,20.63
1.051,0.279,0.273,69.214,-13.184,20.569
1.06,0.254,0.248,72.083,-14.954,22.217
1.077,0.264,0.227,73.792,-15.869,26.245
1.081,0.28,0.204,75.928,-17.883,29.907
1.062,0.311,0.175,79.163,-21.179,33.569
1.005,0.333,0.129,83.252,-24.78,36.987
1.001,0.428,0.134,89.417,-26.489,38.879
0.952,0.448,0.079,99.426,-28.137,40.955
0.879,0.413,0.003,109.619,-27.466,41.321
0.898,0.493,0.054,117.981,-20.996,38.452
0.915,0.459,0.036,127.136,-16.602,38.269
